experiment,lib,conns,netem_limit,idle,client_logical_cores,delivery_median,server_cpu_pct,client_cpu_pct,attempted_ratio,note
A,enet,600,1000,spin,2,0.478,100.00,199.98,1.0000,server_cpu=spin_artifact
A,enet,600,1000,spin,4,0.460,100.00,399.97,1.0000,server_cpu=spin_artifact
A,enet,600,1000,spin,6,0.452,100.00,599.98,1.0000,server_cpu=spin_artifact
B,enet,600,1000,spin,8,0.442,100.00,,1.0000,1_server
B,enet,600,1000,spin,8,0.434,100.00,,1.0000,2_servers_split
C2,enet,100,1000,adaptive,8,0.990,42.70,376.66,1.0000,inflight600_lt_limit
C2,enet,150,1000,adaptive,8,0.991,51.87,377.81,1.0000,inflight900_lt_limit
C2,enet,200,1000,adaptive,8,0.911,60.44,378.60,1.0000,inflight1200_gt_limit
C2,enet,300,1000,adaptive,8,0.664,65.13,379.11,0.9770,inflight1800_gt_limit
C2,enet,600,1000,adaptive,8,0.434,71.32,380.36,0.8960,inflight3600_gt_limit
D,enet,600,1000,adaptive,6,0.4454,77.20,,,netem_queue_limited
D,enet,600,100000,adaptive,6,0.9891,94.47,573.80,1.0000,recovered_queue_freed
D,enet,1000,1000,adaptive,6,0.3167,80.87,,,
D,enet,1000,100000,adaptive,6,0.2079,97.09,571.66,1.0000,server_cpu_saturated_1core
D,gns,600,1000,adaptive,6,0.7627,164.59,,,netem_queue_limited
D,gns,600,100000,adaptive,6,0.9930,175.79,,1.0000,recovered_queue_freed
D,gns,1000,1000,adaptive,6,0.4249,172.55,,,
D,gns,1000,100000,adaptive,6,0.5502,184.18,596.17,1.0000,server_cpu_2cores_multithread
E,gns,1000,100000,adaptive,2,0.86,177.57,200.52,0.6765,client_generation_limited
E,gns,1000,100000,adaptive,4,0.559,183.68,398.94,1.0000,server_limited
E,gns,1000,100000,adaptive,6,0.558,184.10,595.56,1.0000,server_limited_invariant_vs_4log
E,enet,1000,100000,adaptive,2,0.5922,97.60,196.70,1.0000,server_saturated_burst_effect
E,enet,1000,100000,adaptive,4,0.3683,97.59,385.94,1.0000,server_saturated_burst_effect
E,enet,1000,100000,adaptive,6,0.1925,97.14,571.72,1.0000,server_saturated_burst_effect
F,gns,1000,100000,adaptive,4,0.5704,,,1.0000,valid=1_after_fix_client2phys_tickgap_diagnostic
F,gns,1000,100000,adaptive,4,0.5510,,,1.0000,valid=1_after_fix_client2phys_tickgap_diagnostic
