lib,conns,valid,delivery_median,server_cpu_median,note,thread_model
enet,200,1,0.990,60.29,,single
enet,400,1,0.991,84.70,,single
enet,600,1,0.990,94.78,server_near_saturation,single
enet,800,1,0.749,97.62,server_1core_saturated,single
enet,1000,1,0.241,97.40,server_1core_saturated,single
kcp,200,1,0.993,35.85,,single
kcp,400,1,0.993,69.31,,single
kcp,600,1,0.896,88.04,,single
kcp,800,1,0.777,87.92,,single
kcp,1000,1,0.714,88.71,most_cpu_efficient_gentlest_decay,single
gns,200,1,0.993,136.60,,multi
gns,400,1,0.993,158.20,,multi
gns,600,1,0.993,174.35,,multi
gns,800,1,0.789,182.32,,multi
gns,1000,1,0.557,183.53,server_2cores_multithread_best_tail,multi
msquic,200,1,0.593,84.11,flat_058_unreliable_datagram_loss,internal_worker
msquic,400,1,0.587,114.59,flat_058,internal_worker
msquic,600,1,0.573,122.33,flat_058,internal_worker
msquic,800,1,0.579,123.75,flat_058,internal_worker
msquic,1000,0,,,client_crash,internal_worker
mini_rudp,200,0,,,client_tick_baseline_broken,single
mini_rudp,400,0,,,client_tick,single
mini_rudp,600,0,,,client_tick,single
mini_rudp,800,0,,,client_tick,single
mini_rudp,1000,0,,,client_tick,single
litenetlib,200,1,0.994,123.81,client_2phys,multi
litenetlib,400,1,0.994,147.42,client_2phys,multi
litenetlib,600,1,0.994,171.32,client_2phys,multi
litenetlib,800,1,0.994,190.12,client_3phys_required,multi
litenetlib,1000,1,0.994,191.13,client_3phys_combine_aggregate_tickok_fix,multi
