library,scenario_id,conns,n_total,n_valid,valid,delivery_ratio_median,server_cpu_pct_median,rtt_r_p50_us_median,rtt_r_p95_us_median,rtt_r_p99_us_median,rtt_u_p50_us_median,rtt_u_p95_us_median,rtt_u_p99_us_median,included_run_ids,note
enet,enet_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.3730,99.15,726600,809900,898000,725200,761800,820000,r1;r2;r3,
enet,enet_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9900,61.63,51300,84200,126100,50600,62200,67000,r1;r2;r3,
enet,enet_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9903,95.83,54000,86800,128800,53200,65400,70000,r1;r2;r3,
gns,gns_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.5648,189.29,5455000,9552000,9895000,5456000,9541000,9891000,r1;r2;r3,
gns,gns_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9922,138.04,55900,103800,142800,55000,69600,92500,r1;r2;r3,
gns,gns_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9932,178.65,72600,132400,175000,71800,93500,120500,r1;r2;r3,
kcp,kcp_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.7085,88.58,410600,5078000,9890000,67800,87800,94500,r1;r2;r3,
kcp,kcp_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9924,35.69,58600,91200,133600,50300,61900,66700,r1;r2;r3,
kcp,kcp_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9253,90.89,85100,167100,216900,59900,75100,83200,r1;r2;r3,
litenetlib,litenetlib_r50_u50_64_1000_echo_0_adaptive,1000,3,0,0,,,,,,,,,,client_tick
litenetlib,litenetlib_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9940,122.26,68400,192000,531500,66300,83000,94500,r1;r2;r3,
litenetlib,litenetlib_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9943,172.52,72300,228200,586900,69800,118400,255800,r1;r2;r3,
mini_rudp,mini_rudp_r50_u50_64_1000_echo_0_adaptive,1000,3,0,0,,,,,,,,,,client_tick
mini_rudp,mini_rudp_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9921,54.49,50700,63800,100900,50500,62100,66900,r1;r2;r3,
mini_rudp,mini_rudp_r50_u50_64_600_echo_0_adaptive,600,3,0,0,,,,,,,,,,client_tick
msquic,msquic_r50_u50_64_1000_echo_0_adaptive,1000,3,0,0,,,,,,,,,,client_crash
msquic,msquic_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.5921,89.82,53800,99900,139400,53000,74900,125900,r1;r2;r3,
msquic,msquic_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.5736,131.54,75100,139600,181700,72800,123600,154900,r1;r2;r3,
