variant,n,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,return_delivery_ratio,accepted_ratio,server_cpu_pct,server_conn_disc_transport,client_conn_disc_transport,notes
stock_tail3000,3,1,ok,0.5702,0.5742,0.5944,0.5541,0.9930,1.0000,93.44,,,baseline from netem_tail3000_summary.csv
batch_server,1,0,client_tick,0.7806,0.7952,0.9134,0.6508,0.9816,0.9835,91.96,,,ENET_BATCH_POLL=server
batch_server_conn_diag,1,0,client_tick,0.4759,0.4934,0.4357,0.4480,0.9646,0.8962,91.97,430,506,ENET_BATCH_POLL=server after connection diagnostics were added
batch_server_timeout60,1,1,ok,0.5324,0.5569,0.6423,0.4684,0.9561,1.0000,92.61,0,0,ENET_BATCH_POLL=server plus ENET_TIMEOUT_MIN_MS=60000 ENET_TIMEOUT_MAX_MS=60000
initial_rtt100,1,1,ok,0.4962,0.4994,0.5128,0.4860,0.9937,1.0000,94.35,,,ENET_INITIAL_RTT_MS=100 ENET_INITIAL_RTT_VAR_MS=25
batch_server_initial_rtt100,1,0,client_tick,0.7468,0.7636,0.8583,0.6141,0.9780,0.9641,92.91,,,ENET_BATCH_POLL=server plus ENET_INITIAL_RTT_MS=100
sequenced_unreliable,3,1,ok,0.5144,0.5188,0.5392,0.4985,0.9894,1.0000,93.51,,,ENET_UNRELIABLE_MODE=sequenced
batch_server_sequenced_unreliable,1,0,client_tick,0.7587,0.7812,0.8648,0.6428,0.9713,0.9649,93.30,,,ENET_BATCH_POLL=server plus ENET_UNRELIABLE_MODE=sequenced
server_drain_unlimited_tail3000,3,1,ok,0.8580,0.8852,0.9935,0.7734,0.9728,0.9980,91.90,7,10,RUDP_SERVER_RECV_DRAIN_LIMIT=0; GNS same condition delivery=0.8603
server_drain_unlimited_tail5000,3,1,ok,0.8419,0.8729,0.9807,0.7564,0.9739,0.9950,86.82,20,26,RUDP_SERVER_RECV_DRAIN_LIMIT=0 tail_ms=5000; GNS same condition delivery=0.8581
server_drain_unlimited_tail3000_return_channels,6,1,ok,0.8637,0.8844,0.9909,0.7740,0.9767,0.9978,91.91,5,12,default unlimited server recv drain; return_r=0.9999 return_u=0.9468; GNS same condition delivery=0.8565
