run_id,scenario_id,role,exit_reason,exit_status,cpu_pct,cpu_pct_peak,close_ms,rss_mb,attempted,accepted,delivered,accepted_r,accepted_u,delivered_r,delivered_u,accepted_ratio,delivery_ratio,server_received,server_echo_accepted,server_received_r,server_received_u,server_echo_accepted_r,server_echo_accepted_u,server_recv_drained_p99,server_recv_drained_max,client_tick_ok,client_tick_ok_check,client_tick_gap_p99_us,client_pacing_lag_p99_us,client_recv_drained_p99,client_recv_drained_max,client_outstanding_max,conn_peak,conn_disc_transport,conn_disc_peer,raw_result_path,stdout_path,stderr_path,delivery_dedup_policy
enet_return_channel_tail3000_n3_1,enet_r50_u50_64_1000_echo_1_adaptive,server,ok,0,93.49,99.86,0,26,,,,,,,,,,1753260,1753260,987799,765461,987799,765461,4227,26339,,,,,,,,1000,7,0,/tmp/return_channel_tail3000_n3_enet_run1_raw/enet_return_channel_tail3000_n3_1/s_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_enet_run1_raw/enet_return_channel_tail3000_n3_1/s_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_enet_run1_raw/enet_return_channel_tail3000_n3_1/s_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,
enet_return_channel_tail3000_n3_1,enet_r50_u50_64_1000_echo_1_adaptive,client,ok,0,399.72,100,0,35,2000000,1994096,1715612,997048,997048,987704,727908,0.9970,0.8603,,,,,,,,,1,1,58,4108,56,966,88017,1000,17,0,/tmp/return_channel_tail3000_n3_enet_run1_raw/enet_return_channel_tail3000_n3_1/c_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_enet_run1_raw/enet_return_channel_tail3000_n3_1/c_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_enet_run1_raw/enet_return_channel_tail3000_n3_1/c_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
enet_return_channel_tail3000_n3_2,enet_r50_u50_64_1000_echo_1_adaptive,server,ok,0,91.96,99.91,0,21,,,,,,,,,,1788883,1788883,996446,792437,996446,792437,5404,13477,,,,,,,,1000,2,0,/tmp/return_channel_tail3000_n3_enet_run2_raw/enet_return_channel_tail3000_n3_2/s_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_enet_run2_raw/enet_return_channel_tail3000_n3_2/s_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_enet_run2_raw/enet_return_channel_tail3000_n3_2/s_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,
enet_return_channel_tail3000_n3_2,enet_r50_u50_64_1000_echo_1_adaptive,client,ok,0,399.65,100,0,35,2000000,1998072,1750789,999036,999036,996374,754415,0.9990,0.8762,,,,,,,,,1,1,59,4688,53,756,75926,1000,4,0,/tmp/return_channel_tail3000_n3_enet_run2_raw/enet_return_channel_tail3000_n3_2/c_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_enet_run2_raw/enet_return_channel_tail3000_n3_2/c_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_enet_run2_raw/enet_return_channel_tail3000_n3_2/c_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
enet_return_channel_tail3000_n3_3,enet_r50_u50_64_1000_echo_1_adaptive,server,ok,0,91.85,99.80,0,28,,,,,,,,,,1776434,1776434,993905,782529,993905,782529,6873,30842,,,,,,,,1000,3,0,/tmp/return_channel_tail3000_n3_enet_run3_raw/enet_return_channel_tail3000_n3_3/s_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_enet_run3_raw/enet_return_channel_tail3000_n3_3/s_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_enet_run3_raw/enet_return_channel_tail3000_n3_3/s_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,
enet_return_channel_tail3000_n3_3,enet_r50_u50_64_1000_echo_1_adaptive,client,ok,0,399.65,100,0,35,2000000,1996992,1731678,998496,998496,993905,737773,0.9985,0.8671,,,,,,,,,1,1,59,4484,57,940,80720,1000,7,0,/tmp/return_channel_tail3000_n3_enet_run3_raw/enet_return_channel_tail3000_n3_3/c_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_enet_run3_raw/enet_return_channel_tail3000_n3_3/c_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_enet_run3_raw/enet_return_channel_tail3000_n3_3/c_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
gns_return_channel_tail3000_n3_1,gns_r50_u50_64_1000_echo_1_adaptive,server,ok,0,171.81,196.47,13,37,,,,,,,,,,1727035,1727035,1000000,727035,1000000,727035,4558,9424,,,,,,,,0,0,0,/tmp/return_channel_tail3000_n3_gns_run1_raw/gns_return_channel_tail3000_n3_1/s_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_gns_run1_raw/gns_return_channel_tail3000_n3_1/s_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_gns_run1_raw/gns_return_channel_tail3000_n3_1/s_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,
gns_return_channel_tail3000_n3_1,gns_r50_u50_64_1000_echo_1_adaptive,client,ok,0,399.38,159,9,44,2000000,2000000,1719700,1000000,1000000,1000000,719700,1.0000,0.8599,,,,,,,,,1,1,61,7088,262,1135,74182,0,0,0,/tmp/return_channel_tail3000_n3_gns_run1_raw/gns_return_channel_tail3000_n3_1/c_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_gns_run1_raw/gns_return_channel_tail3000_n3_1/c_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_gns_run1_raw/gns_return_channel_tail3000_n3_1/c_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
gns_return_channel_tail3000_n3_2,gns_r50_u50_64_1000_echo_1_adaptive,server,ok,0,169.19,1820.69,13,36,,,,,,,,,,1716840,1716840,1000000,716840,1000000,716840,5537,8480,,,,,,,,0,0,0,/tmp/return_channel_tail3000_n3_gns_run2_raw/gns_return_channel_tail3000_n3_2/s_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_gns_run2_raw/gns_return_channel_tail3000_n3_2/s_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_gns_run2_raw/gns_return_channel_tail3000_n3_2/s_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,
gns_return_channel_tail3000_n3_2,gns_r50_u50_64_1000_echo_1_adaptive,client,ok,0,398.76,163,10,44,2000000,2000000,1709771,1000000,1000000,1000000,709771,1.0000,0.8549,,,,,,,,,1,1,58,8252,247,1702,77106,0,0,0,/tmp/return_channel_tail3000_n3_gns_run2_raw/gns_return_channel_tail3000_n3_2/c_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_gns_run2_raw/gns_return_channel_tail3000_n3_2/c_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_gns_run2_raw/gns_return_channel_tail3000_n3_2/c_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
