run_id,scenario_id,library,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,server_echo_accept_ratio,server_echo_accept_ratio_r,server_echo_accept_ratio_u,return_delivery_ratio,return_delivery_ratio_r,return_delivery_ratio_u,rtt_r_p50_us,rtt_r_p95_us,rtt_r_p99_us,rtt_u_p50_us,rtt_u_p95_us,rtt_u_p99_us,server_cpu_pct,server_cpu_pct_peak
enet_return_channel_tail3000_n3_1,enet_r50_u50_64_1000_echo_1_adaptive,enet,1,ok,0.8603,0.8792,0.9878,0.7655,1.0000,1.0000,1.0000,0.9785,0.9999,0.9509,170100,1200000,2939000,73400,104200,157800,93.49,99.86
enet_return_channel_tail3000_n3_2,enet_r50_u50_64_1000_echo_1_adaptive,enet,1,ok,0.8762,0.8953,0.9964,0.7924,1.0000,1.0000,1.0000,0.9787,0.9999,0.9520,144800,897400,2484000,72300,97600,109900,91.96,99.91
enet_return_channel_tail3000_n3_3,enet_r50_u50_64_1000_echo_1_adaptive,enet,1,ok,0.8671,0.8896,0.9939,0.7825,1.0000,1.0000,1.0000,0.9748,1.0000,0.9428,164000,1071000,2696000,75500,108300,182300,91.85,99.80
gns_return_channel_tail3000_n3_1,gns_r50_u50_64_1000_echo_1_adaptive,gns,1,ok,0.8599,0.8635,1.0000,0.7270,1.0000,1.0000,1.0000,0.9958,1.0000,0.9899,174900,390900,541400,93500,155500,177300,171.81,196.47
gns_return_channel_tail3000_n3_2,gns_r50_u50_64_1000_echo_1_adaptive,gns,1,ok,0.8549,0.8584,1.0000,0.7168,1.0000,1.0000,1.0000,0.9959,1.0000,0.9901,177000,391200,535700,97000,156700,176000,169.19,1820.69
gns_return_channel_tail3000_n3_3,gns_r50_u50_64_1000_echo_1_adaptive,gns,1,ok,0.8572,0.8609,1.0000,0.7218,1.0000,1.0000,1.0000,0.9958,1.0000,0.9899,175900,390100,536200,95800,156600,178500,171.33,195.29
enet_return_channel_tail3000_n3b_1,enet_r50_u50_64_1000_echo_1_adaptive,enet,1,ok,0.8859,0.9042,0.9962,0.8101,1.0000,1.0000,1.0000,0.9798,0.9999,0.9551,134900,667200,1846000,73100,99200,112000,91.99,99.91
enet_return_channel_tail3000_n3b_2,enet_r50_u50_64_1000_echo_1_adaptive,enet,1,ok,0.8193,0.8521,0.9710,0.7233,1.0000,1.0000,1.0000,0.9615,0.9986,0.9118,255600,2009000,4330000,94500,166800,195700,91.55,99.57
enet_return_channel_tail3000_n3b_3,enet_r50_u50_64_1000_echo_1_adaptive,enet,1,ok,0.8434,0.8663,0.9783,0.7451,1.0000,1.0000,1.0000,0.9736,0.9999,0.9391,243200,1936000,4266000,78100,115500,135000,91.46,99.91
gns_return_channel_tail3000_n3b_1,gns_r50_u50_64_1000_echo_1_adaptive,gns,1,ok,0.8559,0.8595,1.0000,0.7190,1.0000,1.0000,1.0000,0.9958,1.0000,0.9900,177900,390800,534900,97400,157100,177300,172.41,195.01
gns_return_channel_tail3000_n3b_2,gns_r50_u50_64_1000_echo_1_adaptive,gns,1,ok,0.8577,0.8614,1.0000,0.7228,1.0000,1.0000,1.0000,0.9957,1.0000,0.9899,172800,377300,527600,91000,139600,159500,170.70,195.99
gns_return_channel_tail3000_n3b_3,gns_r50_u50_64_1000_echo_1_adaptive,gns,1,ok,0.8547,0.8584,1.0000,0.7168,1.0000,1.0000,1.0000,0.9957,1.0000,0.9897,179400,403500,555200,96600,159700,184100,171.32,195.75
