library,scenario_id,conns,n_total,n_valid,valid,delivery_ratio_median,forward_delivery_ratio_median,forward_delivery_ratio_r_median,forward_delivery_ratio_u_median,server_echo_accept_ratio_median,server_echo_accept_ratio_r_median,server_echo_accept_ratio_u_median,return_delivery_ratio_median,return_delivery_ratio_r_median,return_delivery_ratio_u_median,server_cpu_pct_median,server_cpu_pct_peak_median,rtt_r_p50_us_median,rtt_r_p95_us_median,rtt_r_p99_us_median,rtt_u_p50_us_median,rtt_u_p95_us_median,rtt_u_p99_us_median,included_run_ids,note
enet,enet_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.8658,0.8901,0.9901,0.7862,1.0000,1.0000,1.0000,0.9726,0.9995,0.9390,96.14,99.76,170100,937900,2264000,79800,125700,153500,r1;r2;r3,
enet,enet_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9894,0.9945,1.0000,0.9890,1.0000,1.0000,1.0000,0.9949,1.0000,0.9897,44.67,51.68,51200,83200,125200,50400,62000,66800,r1;r2;r3,
enet,enet_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9884,0.9942,1.0000,0.9885,1.0000,1.0000,1.0000,0.9942,1.0000,0.9883,93.60,100.02,52800,85000,127600,52000,63800,68500,r1;r2;r3,
gns,gns_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.8549,0.8585,1.0000,0.7169,1.0000,1.0000,1.0000,0.9957,1.0000,0.9898,181.50,195.90,176500,393800,545400,94300,154100,175800,r1;r2;r3,
gns,gns_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9901,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,92.59,110.47,54000,113900,156600,53100,79600,134100,r1;r2;r3,
gns,gns_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9901,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,160.58,178.39,59000,111800,153700,58100,79000,109800,r1;r2;r3,
kcp,kcp_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.7146,0.7183,0.9457,0.4926,1.0000,1.0000,1.0000,0.9954,0.9982,0.9899,88.82,98.32,377300,4660000,9135000,66000,78900,87200,r1;r2;r3,
kcp,kcp_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9899,0.9949,1.0000,0.9898,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,37.21,58.98,53900,80700,123000,50300,61900,66700,r1;r2;r3,
kcp,kcp_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.8883,0.8923,1.0000,0.7845,1.0000,1.0000,1.0000,0.9956,1.0000,0.9900,91.28,99.31,110800,197000,258700,62800,75800,83400,r1;r2;r3,
litenetlib,litenetlib_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.9900,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9949,0.9999,0.9899,194.40,199.41,72700,198900,547700,70500,90600,99400,r1;r2;r3,
litenetlib,litenetlib_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9899,0.9949,1.0000,0.9899,1.0000,1.0000,1.0000,0.9949,0.9999,0.9898,123.19,173.29,63400,186600,540000,61400,75700,82000,r1;r2;r3,
litenetlib,litenetlib_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9900,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9950,1.0000,0.9901,179.27,196.64,65700,188500,508700,63500,77800,86200,r1;r2;r3,
mini_rudp,mini_rudp_r50_u50_64_1000_echo_0_adaptive,1000,3,0,0,,,,,,,,,,,,,,,,,,,,server_crash
mini_rudp,mini_rudp_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9899,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,54.33,68.38,50700,63600,100900,50500,62000,66800,r1;r2;r3,
mini_rudp,mini_rudp_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.7264,0.7329,0.9996,0.4661,1.0000,1.0000,1.0000,0.9911,0.9915,0.9901,99.69,100.00,101900,266500,410400,57400,70100,74900,r1;r2;r3,
msquic,msquic_r50_u50_64_1000_echo_0_adaptive,1000,3,0,0,,,,,,,,,,,,,,,,,,,,client_crash
msquic,msquic_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.5909,0.5940,0.5970,0.5910,1.0000,1.0000,1.0000,0.9948,0.9999,0.9898,92.18,151.63,53500,93000,127800,52700,69300,100100,r1;r2;r3,
msquic,msquic_r50_u50_64_600_echo_0_adaptive,600,3,1,0,0.5823,0.5857,0.5865,0.5806,1.0000,1.0000,1.0000,0.9942,0.9989,0.9895,132.03,199.52,76800,147300,193700,73700,131100,166600,r2,
