profile,library,status,last_ok_conns,last_ok_delivery,last_ok_server_cpu,break_conns,break_reason,break_delivery,break_server_cpu
echo,apex_rudp,broken,1000,0.9900,114.68,1500,aggregate_invalid:client_tick,,
echo,enet,broken,600,0.9882,93.52,1000,delivery<0.95,0.8688,96.11
echo,gns,broken,600,0.9899,161.83,1000,delivery<0.95,0.8406,183.38
echo,litenetlib,broken,2000,0.9876,170.92,3000,aggregate_invalid:client_tick,,
game_server,apex_rudp,broken,64,0.9803,73.90,96,delivery<0.95,0.4613,134.54
game_server,enet,broken,,,,64,delivery<0.95,0.9273,42.28
game_server,gns,broken,64,0.9810,160.87,96,aggregate_invalid:valid_runs=1/3,0.4175,164.96
game_server,litenetlib,broken,96,0.9809,38.47,128,aggregate_invalid:client_tick,,
media_relay,apex_rudp,broken,50,0.9798,82.65,75,delivery<0.95,0.4874,120.68
media_relay,enet,broken,,,,50,delivery<0.95,0.9467,77.09
media_relay,gns,broken,,,,50,delivery<0.95,0.1529,85.26
media_relay,litenetlib,broken,50,0.9804,94.24,75,aggregate_invalid:valid_runs=1/3,0.3075,120.33
