run_id,scenario_id,library,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,server_echo_accept_ratio,server_echo_accept_ratio_r,server_echo_accept_ratio_u,return_delivery_ratio,return_delivery_ratio_r,return_delivery_ratio_u,rtt_r_p50_us,rtt_r_p95_us,rtt_r_p99_us,rtt_u_p50_us,rtt_u_p95_us,rtt_u_p99_us,server_cpu_pct,server_cpu_pct_peak
echo_c1000_r1,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9900,0.9949,1.0000,0.9898,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,53200,67500,154900,53400,66600,70400,115.45,137.13
echo_c1000_r1,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9950,0.9997,0.9897,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,67600,190700,546500,65200,78800,88000,146.67,173.34
echo_c1000_r1,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8708,0.8930,0.9945,0.7906,1.0000,1.0000,1.0000,0.9752,0.9992,0.9449,155600,926700,2396000,76200,112500,203900,96.97,102.27
echo_c1000_r1,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8561,0.8597,1.0000,0.7194,1.0000,1.0000,1.0000,0.9958,1.0000,0.9900,175300,378900,525600,94400,153300,172700,184.81,195.79
echo_c1000_r2,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9901,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,53000,66800,154400,52900,66000,69700,113.90,129.88
echo_c1000_r2,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9950,0.9999,0.9900,1.0000,1.0000,1.0000,0.9950,1.0000,0.9901,67800,188700,516400,65800,78300,88500,142.68,172.88
echo_c1000_r2,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8688,0.8950,0.9933,0.7949,1.0000,1.0000,1.0000,0.9708,0.9994,0.9350,165100,830800,2125000,84800,138300,170500,95.95,99.80
echo_c1000_r2,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8406,0.8440,0.9999,0.6881,1.0000,1.0000,1.0000,0.9959,1.0000,0.9900,194200,436900,613700,96600,158700,191200,183.38,195.26
echo_c1000_r3,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,0,client_tick,0.5401,0.6274,0.7406,0.2573,1.0000,1.0000,1.0000,0.8609,0.8911,0.7737,1204000,3030000,3918000,94100,764400,1042000,109.03,148.06
echo_c1000_r3,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9950,0.9999,0.9901,1.0000,1.0000,1.0000,0.9950,0.9999,0.9900,67900,196900,740700,65400,78600,89900,143.77,171.75
echo_c1000_r3,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8486,0.8813,0.9841,0.7734,1.0000,1.0000,1.0000,0.9629,0.9992,0.9168,172400,1057000,2579000,84500,136200,414300,96.11,101.27
echo_c1000_r3,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8194,0.8226,0.9995,0.6449,1.0000,1.0000,1.0000,0.9961,1.0000,0.9902,233300,598500,858900,96600,251300,294600,180.95,195.12
echo_c1500_r1,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,0,client_tick,0.3661,0.5416,0.4969,0.0740,1.0000,1.0000,1.0000,0.6759,0.7115,0.4371,1704000,3936000,5052000,706600,1081000,1811000,103.16,110.01
echo_c1500_r1,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,1,ok,0.9899,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9949,0.9999,0.9899,73900,197400,551200,72700,92900,101300,163.48,186.28
echo_c1500_r2,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,0,client_tick,0.3594,0.5262,0.4884,0.0723,1.0000,1.0000,1.0000,0.6830,0.7202,0.4315,1711000,3940000,5119000,706400,1011000,1503000,103.25,111.48
echo_c1500_r2,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9950,0.9999,0.9899,73600,202900,552700,72500,92600,103700,161.36,185.18
echo_c1500_r3,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,0,client_tick,0.3774,0.5454,0.5065,0.0747,1.0000,1.0000,1.0000,0.6920,0.7300,0.4343,1712000,3835000,4926000,707600,1117000,1672000,103.34,108.71
echo_c1500_r3,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,1,ok,0.9899,0.9949,1.0000,0.9899,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,74000,197600,532600,72700,92900,100900,161.95,191.73
echo_c2000_r1,litenetlib_r50_u50_64_2000_echo_0_adaptive,litenetlib,1,ok,0.9852,0.9901,0.9994,0.9803,1.0000,1.0000,1.0000,0.9950,0.9999,0.9900,93600,701800,1612000,79800,111200,122900,171.41,194.92
echo_c2000_r2,litenetlib_r50_u50_64_2000_echo_0_adaptive,litenetlib,1,ok,0.9897,0.9946,1.0000,0.9893,1.0000,1.0000,1.0000,0.9950,1.0000,0.9901,87800,232000,615300,79300,109800,119100,170.92,198.90
echo_c2000_r3,litenetlib_r50_u50_64_2000_echo_0_adaptive,litenetlib,1,ok,0.9876,0.9925,0.9989,0.9847,1.0000,1.0000,1.0000,0.9950,0.9999,0.9900,92000,358200,955000,82100,112600,126500,170.64,198.40
echo_c200_r1,apex_rudp_r50_u50_64_200_echo_0_adaptive,apex_rudp,1,ok,0.9903,0.9952,1.0000,0.9903,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,50700,63600,150600,50500,62100,66800,45.64,66.96
echo_c200_r1,litenetlib_r50_u50_64_200_echo_0_adaptive,litenetlib,1,ok,0.9903,0.9951,1.0000,0.9903,1.0000,1.0000,1.0000,0.9952,1.0000,0.9903,62900,177100,450600,61100,75300,81800,35.87,79.47
echo_c200_r1,enet_r50_u50_64_200_echo_0_adaptive,enet,1,ok,0.9894,0.9948,1.0000,0.9896,1.0000,1.0000,1.0000,0.9946,1.0000,0.9892,51200,82100,124900,50400,62000,66800,45.75,87.29
echo_c200_r1,gns_r50_u50_64_200_echo_0_adaptive,gns,1,ok,0.9901,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,53700,109100,148700,52900,73100,123900,94.56,108.80
echo_c200_r2,apex_rudp_r50_u50_64_200_echo_0_adaptive,apex_rudp,1,ok,0.9901,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,50600,63700,150600,50500,62100,66900,45.79,51.96
echo_c200_r2,litenetlib_r50_u50_64_200_echo_0_adaptive,litenetlib,1,ok,0.9898,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9947,0.9999,0.9895,63100,187400,537300,61100,75300,81700,35.84,81.76
echo_c200_r2,enet_r50_u50_64_200_echo_0_adaptive,enet,1,ok,0.9892,0.9944,1.0000,0.9888,1.0000,1.0000,1.0000,0.9948,1.0000,0.9895,51200,83100,125400,50400,62000,66800,45.27,55.34
echo_c200_r2,gns_r50_u50_64_200_echo_0_adaptive,gns,1,ok,0.9900,0.9950,1.0000,0.9899,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,54100,107300,147000,53300,73200,111500,93.84,112.20
echo_c200_r3,apex_rudp_r50_u50_64_200_echo_0_adaptive,apex_rudp,1,ok,0.9900,0.9949,1.0000,0.9899,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,50700,63700,150900,50500,62200,67000,45.57,79.67
echo_c200_r3,litenetlib_r50_u50_64_200_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9951,0.9999,0.9902,1.0000,1.0000,1.0000,0.9949,0.9999,0.9899,62900,182500,531800,61100,75300,81600,36.26,84.59
echo_c200_r3,enet_r50_u50_64_200_echo_0_adaptive,enet,1,ok,0.9893,0.9949,1.0000,0.9897,1.0000,1.0000,1.0000,0.9944,1.0000,0.9888,51200,83700,125500,50400,62000,66800,45.12,57.47
echo_c200_r3,gns_r50_u50_64_200_echo_0_adaptive,gns,1,ok,0.9905,0.9952,1.0000,0.9903,1.0000,1.0000,1.0000,0.9953,1.0000,0.9905,53800,103200,144600,52900,69700,102600,92.27,103.43
echo_c3000_r1,litenetlib_r50_u50_64_3000_echo_0_adaptive,litenetlib,0,client_tick,0.9837,0.9888,0.9825,0.9629,1.0000,1.0000,1.0000,0.9949,0.9997,0.9900,130500,550300,1223000,118100,159400,184800,184.00,198.42
