library,scenario_id,conns,n_total,n_valid,valid,delivery_ratio_median,forward_delivery_ratio_median,forward_delivery_ratio_r_median,forward_delivery_ratio_u_median,server_echo_accept_ratio_median,server_echo_accept_ratio_r_median,server_echo_accept_ratio_u_median,return_delivery_ratio_median,return_delivery_ratio_r_median,return_delivery_ratio_u_median,server_cpu_pct_median,server_cpu_pct_peak_median,rtt_r_p50_us_median,rtt_r_p95_us_median,rtt_r_p99_us_median,rtt_u_p50_us_median,rtt_u_p95_us_median,rtt_u_p99_us_median,included_run_ids,note
apex_rudp,apex_rudp_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9798,0.9897,,0.9864,1.0000,,1.0000,0.9900,,0.9900,82.65,149.15,0,0,0,56500,69600,74600,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
apex_rudp,apex_rudp_r0_u30_1000_75_broadcast_0_adaptive,75,3,2,1,0.4874,0.9896,,0.9821,0.8039,,0.8039,0.6126,,0.6126,120.68,143.94,0,0,0,6256500,10157000,10510000,media_relay_c75_r2;media_relay_c75_r3,
apex_rudp,apex_rudp_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9803,0.9897,1.0000,0.9867,1.0000,1.0000,1.0000,0.9905,1.0000,0.9900,73.90,150.25,60900,86600,153400,64100,88900,108900,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
apex_rudp,apex_rudp_r1_u20_128_96_broadcast_0_adaptive,96,3,3,1,0.4613,0.9906,1.0000,0.9902,0.7343,1.0000,0.7209,0.6342,0.9965,0.6088,134.54,200.08,94600,143500,196700,6764000,11150000,11547000,game_server_c96_r1;game_server_c96_r2;game_server_c96_r3,
apex_rudp,apex_rudp_r50_u50_64_1000_echo_0_adaptive,1000,3,2,1,0.9900,0.9950,1.0000,0.9899,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,114.68,133.50,53100,67150,154650,53150,66300,70050,echo_c1000_r1;echo_c1000_r2,
apex_rudp,apex_rudp_r50_u50_64_1500_echo_0_adaptive,1500,3,0,0,,,,,,,,,,,,,,,,,,,,client_tick
apex_rudp,apex_rudp_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9901,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,45.64,66.96,50700,63700,150600,50500,62100,66900,echo_c200_r1;echo_c200_r2;echo_c200_r3,
apex_rudp,apex_rudp_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9901,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,99.19,123.21,51600,65200,152400,51500,63800,69500,echo_c600_r1;echo_c600_r2;echo_c600_r3,
enet,enet_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9467,0.9879,,0.9879,1.0000,,1.0000,0.9642,,0.9642,77.09,100.00,0,0,0,56800,70900,78000,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
enet,enet_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9273,0.9892,1.0000,0.9886,1.0000,1.0000,1.0000,0.9374,1.0000,0.9343,42.28,58.35,80000,157300,201900,54800,66400,72700,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
enet,enet_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.8688,0.8930,0.9933,0.7906,1.0000,1.0000,1.0000,0.9708,0.9992,0.9350,96.11,101.27,165100,926700,2396000,84500,136200,203900,echo_c1000_r1;echo_c1000_r2;echo_c1000_r3,
enet,enet_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9893,0.9948,1.0000,0.9896,1.0000,1.0000,1.0000,0.9946,1.0000,0.9892,45.27,57.47,51200,83100,125400,50400,62000,66800,echo_c200_r1;echo_c200_r2;echo_c200_r3,
enet,enet_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9882,0.9939,1.0000,0.9877,1.0000,1.0000,1.0000,0.9940,1.0000,0.9879,93.52,99.63,52900,84700,127300,52200,64200,68900,echo_c600_r1;echo_c600_r2;echo_c600_r3,
gns,gns_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.1529,0.9906,,0.9906,0.1709,,0.1709,0.9035,,0.9035,85.26,126.35,0,0,0,2113000,2131000,2137000,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
gns,gns_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9810,0.9908,1.0000,0.9903,1.0000,1.0000,1.0000,0.9901,1.0000,0.9896,160.87,192.79,101900,182700,228100,68400,102100,117600,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
gns,gns_r1_u20_128_96_broadcast_0_adaptive,96,3,1,0,0.4175,0.8950,0.9500,0.8923,0.4900,0.5271,0.4880,0.9520,0.9455,0.9524,164.96,194.35,5469000,9374000,9478000,5567000,9093000,9369000,game_server_c96_r3,
gns,gns_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.8406,0.8440,0.9999,0.6881,1.0000,1.0000,1.0000,0.9959,1.0000,0.9900,183.38,195.26,194200,436900,613700,96600,158700,191200,echo_c1000_r1;echo_c1000_r2;echo_c1000_r3,
gns,gns_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9901,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,93.84,108.80,53800,107300,147000,52900,73100,111500,echo_c200_r1;echo_c200_r2;echo_c200_r3,
gns,gns_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9899,0.9949,1.0000,0.9898,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,161.83,179.74,59300,111800,152400,58300,79000,106600,echo_c600_r1;echo_c600_r2;echo_c600_r3,
litenetlib,litenetlib_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9804,0.9903,,0.9903,1.0000,,1.0000,0.9899,,0.9899,94.24,162.16,0,0,0,68500,87900,113700,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
litenetlib,litenetlib_r0_u30_1000_75_broadcast_0_adaptive,75,3,1,0,0.3075,0.9904,,0.9904,1.0000,,1.0000,0.3104,,0.3104,120.33,168.48,0,0,0,4042000,18446744073438800,18446744073438800,media_relay_c75_r3,
litenetlib,litenetlib_r1_u20_128_128_broadcast_0_adaptive,128,3,0,0,,,,,,,,,,,,,,,,,,,,client_tick
litenetlib,litenetlib_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9814,0.9908,1.0000,0.9903,1.0000,1.0000,1.0000,0.9907,1.0000,0.9902,23.51,66.52,77700,185400,221400,62900,76300,83200,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
litenetlib,litenetlib_r1_u20_128_96_broadcast_0_adaptive,96,3,3,1,0.9809,0.9903,1.0000,0.9898,1.0000,1.0000,1.0000,0.9905,1.0000,0.9901,38.47,89.05,103300,232100,337600,78800,113800,136500,game_server_c96_r1;game_server_c96_r2;game_server_c96_r3,
litenetlib,litenetlib_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.9900,0.9950,0.9999,0.9900,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,143.77,172.88,67800,190700,546500,65400,78600,88500,echo_c1000_r1;echo_c1000_r2;echo_c1000_r3,
litenetlib,litenetlib_r50_u50_64_1500_echo_0_adaptive,1500,3,3,1,0.9899,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9950,0.9999,0.9899,161.95,186.28,73900,197600,551200,72700,92900,101300,echo_c1500_r1;echo_c1500_r2;echo_c1500_r3,
litenetlib,litenetlib_r50_u50_64_2000_echo_0_adaptive,2000,3,3,1,0.9876,0.9925,0.9994,0.9847,1.0000,1.0000,1.0000,0.9950,0.9999,0.9900,170.92,198.40,92000,358200,955000,79800,111200,122900,echo_c2000_r1;echo_c2000_r2;echo_c2000_r3,
litenetlib,litenetlib_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9900,0.9951,1.0000,0.9902,1.0000,1.0000,1.0000,0.9949,0.9999,0.9899,35.87,81.76,62900,182500,531800,61100,75300,81700,echo_c200_r1;echo_c200_r2;echo_c200_r3,
litenetlib,litenetlib_r50_u50_64_3000_echo_0_adaptive,3000,3,0,0,,,,,,,,,,,,,,,,,,,,client_tick
litenetlib,litenetlib_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9899,0.9949,1.0000,0.9898,1.0000,1.0000,1.0000,0.9949,0.9999,0.9900,90.81,147.06,65000,187400,535500,62600,76300,83700,echo_c600_r1;echo_c600_r2;echo_c600_r3,
