run_id,scenario_id,library,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,server_echo_accept_ratio,server_echo_accept_ratio_r,server_echo_accept_ratio_u,return_delivery_ratio,return_delivery_ratio_r,return_delivery_ratio_u,rtt_r_p50_us,rtt_r_p95_us,rtt_r_p99_us,rtt_u_p50_us,rtt_u_p95_us,rtt_u_p99_us,server_cpu_pct,server_cpu_pct_peak
r1,gns_split_no_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_no_nagle,1,ok,0.8498,0.8534,1.0000,0.7067,1.0000,1.0000,1.0000,0.9958,1.0000,0.9900,189500,427800,595600,94200,149200,172100,184.02,195.09
r1,gns_split_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_nagle,1,ok,0.8457,0.8493,1.0000,0.6986,1.0000,1.0000,1.0000,0.9958,1.0000,0.9899,191200,433500,604700,108800,160000,179300,180.49,196.02
r2,gns_split_no_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_no_nagle,1,ok,0.8540,0.8575,1.0000,0.7151,1.0000,1.0000,1.0000,0.9958,1.0000,0.9900,185000,413900,576100,93700,153200,174900,183.02,195.46
r2,gns_split_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_nagle,1,ok,0.8544,0.8580,1.0000,0.7160,1.0000,1.0000,1.0000,0.9957,1.0000,0.9898,180000,391200,536900,99500,155500,173200,182.25,196.90
r3,gns_split_no_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_no_nagle,1,ok,0.8514,0.8550,1.0000,0.7099,1.0000,1.0000,1.0000,0.9959,1.0000,0.9901,186800,409800,565600,94600,152000,173200,183.33,196.28
r3,gns_split_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_nagle,1,ok,0.8574,0.8611,1.0000,0.7221,1.0000,1.0000,1.0000,0.9958,1.0000,0.9900,180300,393700,541000,109300,159700,178900,182.92,196.62
r1,gns_split_no_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_no_nagle,1,ok,0.9899,0.9949,1.0000,0.9898,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,54200,113300,156200,53300,76500,135300,94.62,116.55
r1,gns_split_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_nagle,1,ok,0.9898,0.9949,1.0000,0.9897,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,62400,104300,144100,61600,74600,89700,74.65,91.27
r2,gns_split_no_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_no_nagle,1,ok,0.9900,0.9951,1.0000,0.9902,1.0000,1.0000,1.0000,0.9948,1.0000,0.9896,53900,104000,144400,53000,69800,100000,92.83,106.70
r2,gns_split_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_nagle,1,ok,0.9900,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,62600,112100,154000,61700,76700,114300,74.43,87.26
r3,gns_split_no_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_no_nagle,1,ok,0.9901,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,54400,110000,149800,53500,78300,123600,93.39,109.14
r3,gns_split_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_nagle,1,ok,0.9900,0.9951,1.0000,0.9902,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,62600,102300,143900,61700,74100,82200,75.44,86.20
r1,gns_split_no_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_no_nagle,1,ok,0.9900,0.9950,1.0000,0.9899,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,59600,112300,153100,58600,78200,106700,165.94,180.16
r1,gns_split_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_nagle,1,ok,0.9901,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,70200,133100,179200,68600,109000,149800,152.40,177.68
r2,gns_split_no_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_no_nagle,1,ok,0.9900,0.9949,1.0000,0.9898,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,59200,110000,150900,58300,76800,99000,161.32,174.56
r2,gns_split_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_nagle,1,ok,0.9900,0.9949,1.0000,0.9898,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,70700,131900,176900,69200,105200,151500,153.34,178.79
r3,gns_split_no_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_no_nagle,1,ok,0.9900,0.9950,1.0000,0.9901,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,59100,108800,150800,58200,77300,95500,166.04,179.87
r3,gns_split_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_nagle,1,ok,0.9901,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,71000,133900,184400,69400,111100,158600,151.20,175.75
