run_id,scenario_id,library,rate_r,rate_u,size,conns,loss,mode,duration_s,warmup_s,ramp_up_ms,tail_ms,idle_policy,server_cpu_pin,client_cpu_pin,pinning_policy,flush_policy,supports_reliability,min_payload_bytes,max_payload_bytes,max_connections,transport_mode
r1,gns_split_no_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_no_nagle,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle_split_lanes,1,17,65536,unbounded,gns_message
r1,gns_split_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_nagle,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",nagle_split_lanes,1,17,65536,unbounded,gns_message
r2,gns_split_no_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_no_nagle,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle_split_lanes,1,17,65536,unbounded,gns_message
r2,gns_split_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_nagle,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",nagle_split_lanes,1,17,65536,unbounded,gns_message
r3,gns_split_no_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_no_nagle,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle_split_lanes,1,17,65536,unbounded,gns_message
r3,gns_split_nagle_r50_u50_64_1000_echo_0_adaptive,gns_split_nagle,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",nagle_split_lanes,1,17,65536,unbounded,gns_message
r1,gns_split_no_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_no_nagle,50,50,64,200,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle_split_lanes,1,17,65536,unbounded,gns_message
r1,gns_split_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_nagle,50,50,64,200,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",nagle_split_lanes,1,17,65536,unbounded,gns_message
r2,gns_split_no_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_no_nagle,50,50,64,200,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle_split_lanes,1,17,65536,unbounded,gns_message
r2,gns_split_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_nagle,50,50,64,200,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",nagle_split_lanes,1,17,65536,unbounded,gns_message
r3,gns_split_no_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_no_nagle,50,50,64,200,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle_split_lanes,1,17,65536,unbounded,gns_message
r3,gns_split_nagle_r50_u50_64_200_echo_0_adaptive,gns_split_nagle,50,50,64,200,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",nagle_split_lanes,1,17,65536,unbounded,gns_message
r1,gns_split_no_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_no_nagle,50,50,64,600,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle_split_lanes,1,17,65536,unbounded,gns_message
r1,gns_split_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_nagle,50,50,64,600,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",nagle_split_lanes,1,17,65536,unbounded,gns_message
r2,gns_split_no_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_no_nagle,50,50,64,600,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle_split_lanes,1,17,65536,unbounded,gns_message
r2,gns_split_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_nagle,50,50,64,600,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",nagle_split_lanes,1,17,65536,unbounded,gns_message
r3,gns_split_no_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_no_nagle,50,50,64,600,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle_split_lanes,1,17,65536,unbounded,gns_message
r3,gns_split_nagle_r50_u50_64_600_echo_0_adaptive,gns_split_nagle,50,50,64,600,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",nagle_split_lanes,1,17,65536,unbounded,gns_message
