run_id,scenario_id,library,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,server_echo_accept_ratio,server_echo_accept_ratio_r,server_echo_accept_ratio_u,return_delivery_ratio,return_delivery_ratio_r,return_delivery_ratio_u,rtt_r_p50_us,rtt_r_p95_us,rtt_r_p99_us,rtt_u_p50_us,rtt_u_p95_us,rtt_u_p99_us,server_cpu_pct,server_cpu_pct_peak
game_server_r1,apex_rudp_r1_u20_128_64_broadcast_0_adaptive,apex_rudp,1,ok,0.9800,0.9893,1.0000,0.9862,1.0000,1.0000,1.0000,0.9906,1.0000,0.9901,61200,85800,156300,63800,85800,107700,72.47,142.48
game_server_r1,litenetlib_r1_u20_128_64_broadcast_0_adaptive,litenetlib,1,ok,0.9818,0.9914,1.0000,0.9910,1.0000,1.0000,1.0000,0.9903,1.0000,0.9898,76700,190200,221100,63000,76500,84200,23.69,66.47
game_server_r1,enet_r1_u20_128_64_broadcast_0_adaptive,enet,1,ok,0.9252,0.9896,1.0000,0.9891,1.0000,1.0000,1.0000,0.9349,1.0000,0.9316,79500,164900,243400,54800,66800,75100,40.94,54.07
game_server_r1,gns_r1_u20_128_64_broadcast_0_adaptive,gns,1,ok,0.9805,0.9901,1.0000,0.9896,1.0000,1.0000,1.0000,0.9903,1.0000,0.9898,101100,176800,228600,68400,104400,122500,160.29,192.06
game_server_r2,apex_rudp_r1_u20_128_64_broadcast_0_adaptive,apex_rudp,1,ok,0.9815,0.9910,1.0000,0.9881,1.0000,1.0000,1.0000,0.9904,1.0000,0.9899,61500,87000,154000,63800,90400,107000,72.34,149.34
game_server_r2,litenetlib_r1_u20_128_64_broadcast_0_adaptive,litenetlib,1,ok,0.9818,0.9910,1.0000,0.9905,1.0000,1.0000,1.0000,0.9907,1.0000,0.9902,79100,182400,231000,64000,78300,87000,26.00,65.25
game_server_r2,enet_r1_u20_128_64_broadcast_0_adaptive,enet,1,ok,0.9240,0.9896,1.0000,0.9891,1.0000,1.0000,1.0000,0.9337,1.0000,0.9303,81600,160300,257900,54900,67200,74300,41.79,60.04
game_server_r2,gns_r1_u20_128_64_broadcast_0_adaptive,gns,1,ok,0.9803,0.9899,1.0000,0.9894,1.0000,1.0000,1.0000,0.9903,1.0000,0.9898,101200,180400,231900,68300,101200,116900,160.00,191.96
game_server_r3,apex_rudp_r1_u20_128_64_broadcast_0_adaptive,apex_rudp,1,ok,0.9802,0.9897,1.0000,0.9868,1.0000,1.0000,1.0000,0.9904,1.0000,0.9899,60800,88100,153100,63600,83200,101900,71.39,144.73
game_server_r3,litenetlib_r1_u20_128_64_broadcast_0_adaptive,litenetlib,1,ok,0.9816,0.9911,1.0000,0.9907,1.0000,1.0000,1.0000,0.9903,1.0000,0.9898,77900,186700,215600,63000,76900,85200,23.59,60.84
game_server_r3,enet_r1_u20_128_64_broadcast_0_adaptive,enet,1,ok,0.9290,0.9897,1.0000,0.9892,1.0000,1.0000,1.0000,0.9386,1.0000,0.9355,115400,162600,311600,55000,66400,73600,41.07,72.80
game_server_r3,gns_r1_u20_128_64_broadcast_0_adaptive,gns,1,ok,0.9810,0.9904,1.0000,0.9900,1.0000,1.0000,1.0000,0.9905,1.0000,0.9900,102300,176800,222400,68300,102400,118400,159.43,191.25
media_relay_r1,apex_rudp_r0_u30_1000_50_broadcast_0_adaptive,apex_rudp,1,ok,0.9791,0.9890,,0.9857,1.0000,,1.0000,0.9901,,0.9901,0,0,0,56600,70000,76500,83.03,138.08
media_relay_r1,litenetlib_r0_u30_1000_50_broadcast_0_adaptive,litenetlib,1,ok,0.9809,0.9910,,0.9910,1.0000,,1.0000,0.9899,,0.9899,0,0,0,68300,85900,94700,91.23,161.41
media_relay_r1,enet_r0_u30_1000_50_broadcast_0_adaptive,enet,1,ok,0.9546,0.9874,,0.9874,1.0000,,1.0000,0.9667,,0.9667,0,0,0,56800,70600,76700,76.72,99.84
media_relay_r1,gns_r0_u30_1000_50_broadcast_0_adaptive,gns,1,ok,0.1530,0.9907,,0.9907,0.1709,,0.1709,0.9038,,0.9038,0,0,0,2113000,2131000,2136000,84.72,114.91
