run_id,scenario_id,library,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,server_echo_accept_ratio,server_echo_accept_ratio_r,server_echo_accept_ratio_u,return_delivery_ratio,return_delivery_ratio_r,return_delivery_ratio_u,rtt_r_p50_us,rtt_r_p95_us,rtt_r_p99_us,rtt_u_p50_us,rtt_u_p95_us,rtt_u_p99_us,server_cpu_pct,server_cpu_pct_peak
echo_c1000_r1,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9892,0.9942,1.0000,0.9884,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,51200,63900,150700,50500,62000,67100,27.04,109.21
echo_c1000_r2,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9893,0.9942,1.0000,0.9884,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,51300,64100,151800,50300,62100,67000,26.19,31.02
echo_c1000_r3,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9895,0.9944,1.0000,0.9888,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,51400,64300,152300,50300,62000,66700,26.54,34.05
echo_c1500_r1,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,1,ok,0.9904,0.9951,1.0000,0.9903,1.0000,1.0000,1.0000,0.9952,1.0000,0.9904,51500,64700,152600,50500,62100,66800,32.94,39.08
echo_c1500_r2,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,1,ok,0.9898,0.9948,1.0000,0.9896,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,51300,64700,152300,50500,62100,66900,33.40,42.85
echo_c1500_r3,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,1,ok,0.9900,0.9952,1.0000,0.9905,1.0000,1.0000,1.0000,0.9948,1.0000,0.9895,51300,64200,151300,50500,62200,66900,32.68,39.83
echo_c2000_r1,apex_rudp_r50_u50_64_2000_echo_0_adaptive,apex_rudp,1,ok,0.9895,0.9948,1.0000,0.9895,1.0000,1.0000,1.0000,0.9947,1.0000,0.9894,51600,64700,151700,50700,62400,67200,40.16,47.59
echo_c2000_r2,apex_rudp_r50_u50_64_2000_echo_0_adaptive,apex_rudp,1,ok,0.9908,0.9955,1.0000,0.9910,1.0000,1.0000,1.0000,0.9953,1.0000,0.9905,51300,64200,149400,50600,62300,67000,40.67,54.64
echo_c2000_r3,apex_rudp_r50_u50_64_2000_echo_0_adaptive,apex_rudp,1,ok,0.9905,0.9954,1.0000,0.9907,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,51500,64300,151500,50700,62400,67200,40.75,83.50
echo_c200_r1,apex_rudp_r50_u50_64_200_echo_0_adaptive,apex_rudp,1,ok,0.9902,0.9945,1.0000,0.9890,1.0000,1.0000,1.0000,0.9957,1.0000,0.9914,50500,63600,149000,50500,62100,67000,17.63,18.66
