library,scenario_id,conns,n_total,n_valid,valid,delivery_ratio_median,forward_delivery_ratio_median,forward_delivery_ratio_r_median,forward_delivery_ratio_u_median,server_echo_accept_ratio_median,server_echo_accept_ratio_r_median,server_echo_accept_ratio_u_median,return_delivery_ratio_median,return_delivery_ratio_r_median,return_delivery_ratio_u_median,server_cpu_pct_median,server_cpu_pct_peak_median,rtt_r_p50_us_median,rtt_r_p95_us_median,rtt_r_p99_us_median,rtt_u_p50_us_median,rtt_u_p95_us_median,rtt_u_p99_us_median,included_run_ids,note
apex_rudp,apex_rudp_r0_u30_1000_100_broadcast_0_adaptive,100,3,3,1,0.9790,0.9927,,0.9877,1.0000,,1.0000,0.9865,,0.9865,42.99,93.31,0,0,0,54000,66600,80200,media_relay_c100_r1;media_relay_c100_r2;media_relay_c100_r3,
apex_rudp,apex_rudp_r0_u30_1000_125_broadcast_0_adaptive,125,3,3,1,0.9733,0.9901,,0.9851,1.0000,,1.0000,0.9826,,0.9826,59.84,117.95,0,0,0,63200,88200,132400,media_relay_c125_r1;media_relay_c125_r2;media_relay_c125_r3,
apex_rudp,apex_rudp_r0_u30_1000_150_broadcast_0_adaptive,150,3,3,1,0.6588,0.9895,,0.9895,1.0000,,1.0000,0.6658,,0.6658,54.73,108.21,0,0,0,1636000,1792000,1826000,media_relay_c150_r1;media_relay_c150_r2;media_relay_c150_r3,
apex_rudp,apex_rudp_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9818,0.9917,,0.9917,1.0000,,1.0000,0.9902,,0.9902,21.00,24.85,0,0,0,51400,63100,68300,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
apex_rudp,apex_rudp_r0_u30_1000_75_broadcast_0_adaptive,75,3,3,1,0.9809,0.9911,,0.9888,1.0000,,1.0000,0.9884,,0.9884,27.54,34.28,0,0,0,52100,64300,71500,media_relay_c75_r1;media_relay_c75_r2;media_relay_c75_r3,
apex_rudp,apex_rudp_r1_u20_128_128_broadcast_0_adaptive,128,3,3,1,0.9717,0.9833,1.0000,0.9775,1.0000,1.0000,1.0000,0.9882,0.9578,0.9898,26.71,54.31,76800,121600,199100,59400,82100,124300,game_server_c128_r1;game_server_c128_r2;game_server_c128_r3,
apex_rudp,apex_rudp_r1_u20_128_192_broadcast_0_adaptive,192,3,3,1,0.7018,0.9889,1.0000,0.9883,1.0000,1.0000,1.0000,0.7103,0.7536,0.7088,32.40,91.91,1403000,1494000,1528000,1421000,1497000,1519000,game_server_c192_r1;game_server_c192_r2;game_server_c192_r3,
apex_rudp,apex_rudp_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9819,0.9905,1.0000,0.9900,1.0000,1.0000,1.0000,0.9907,1.0000,0.9902,16.66,22.90,54300,66400,73700,50700,63000,68100,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
apex_rudp,apex_rudp_r1_u20_128_96_broadcast_0_adaptive,96,3,3,1,0.9779,0.9905,1.0000,0.9900,1.0000,1.0000,1.0000,0.9873,0.9361,0.9900,21.48,37.03,62600,82300,89100,52500,65800,78000,game_server_c96_r1;game_server_c96_r2;game_server_c96_r3,
apex_rudp,apex_rudp_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.9893,0.9942,1.0000,0.9884,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,26.54,34.05,51300,64100,151800,50300,62000,67000,echo_c1000_r1;echo_c1000_r2;echo_c1000_r3,
apex_rudp,apex_rudp_r50_u50_64_1500_echo_0_adaptive,1500,3,3,1,0.9900,0.9951,1.0000,0.9903,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,32.94,39.83,51300,64700,152300,50500,62100,66900,echo_c1500_r1;echo_c1500_r2;echo_c1500_r3,
apex_rudp,apex_rudp_r50_u50_64_2000_echo_0_adaptive,2000,3,3,1,0.9905,0.9954,1.0000,0.9907,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,40.67,54.64,51500,64300,151500,50700,62400,67200,echo_c2000_r1;echo_c2000_r2;echo_c2000_r3,
apex_rudp,apex_rudp_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9902,0.9945,1.0000,0.9890,1.0000,1.0000,1.0000,0.9956,1.0000,0.9911,17.63,18.66,50400,63600,149700,50300,61900,66900,echo_c200_r1;echo_c200_r2;echo_c200_r3,
apex_rudp,apex_rudp_r50_u50_64_3000_echo_0_adaptive,3000,3,3,1,0.9906,0.9956,1.0000,0.9912,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,58.32,96.14,51700,64800,151500,51100,62800,67600,echo_c3000_r1;echo_c3000_r2;echo_c3000_r3,
apex_rudp,apex_rudp_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9902,0.9953,1.0000,0.9906,1.0000,1.0000,1.0000,0.9949,1.0000,0.9897,23.13,54.67,50900,63900,150200,50500,62000,66900,echo_c600_r1;echo_c600_r2;echo_c600_r3,
