run_id,scenario_id,library,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,server_echo_accept_ratio,server_echo_accept_ratio_r,server_echo_accept_ratio_u,return_delivery_ratio,return_delivery_ratio_r,return_delivery_ratio_u,rtt_r_p50_us,rtt_r_p95_us,rtt_r_p99_us,rtt_u_p50_us,rtt_u_p95_us,rtt_u_p99_us,server_cpu_pct,server_cpu_pct_peak
echo_c3000_r1,coop_rudp_r50_u50_64_3000_echo_0_adaptive,coop_rudp,1,ok,0.9905,0.9954,1.0000,0.9908,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,52400,65700,152200,52200,64300,69100,53.23,65.66
echo_c3000_r2,coop_rudp_r50_u50_64_3000_echo_0_adaptive,coop_rudp,1,ok,0.9898,0.9948,1.0000,0.9897,1.0000,1.0000,1.0000,0.9949,1.0000,0.9897,52300,65700,153700,52000,64100,68600,52.58,69.55
echo_c3000_r3,coop_rudp_r50_u50_64_3000_echo_0_adaptive,coop_rudp,1,ok,0.9901,0.9955,1.0000,0.9910,1.0000,1.0000,1.0000,0.9945,1.0000,0.9890,52400,65700,152600,52300,64200,69000,52.39,63.34
game_server_c128_r1,coop_rudp_r1_u20_128_128_broadcast_0_adaptive,coop_rudp,1,ok,0.9837,0.9929,1.0000,0.9925,1.0000,1.0000,1.0000,0.9907,1.0000,0.9903,73500,99400,116200,59500,76000,88700,23.83,29.73
game_server_c128_r2,coop_rudp_r1_u20_128_128_broadcast_0_adaptive,coop_rudp,1,ok,0.9835,0.9929,1.0000,0.9925,1.0000,1.0000,1.0000,0.9905,1.0000,0.9901,74700,99300,118600,59500,76100,91200,23.44,32.47
game_server_c128_r3,coop_rudp_r1_u20_128_128_broadcast_0_adaptive,coop_rudp,1,ok,0.9884,0.9976,1.0000,0.9975,1.0000,1.0000,1.0000,0.9908,1.0000,0.9903,74000,97600,152400,59200,75600,88900,23.24,30.31
game_server_c192_r1,coop_rudp_r1_u20_128_192_broadcast_0_adaptive,coop_rudp,0,client_tick,0.8923,0.9924,1.0000,0.8928,0.9360,0.7167,0.9483,0.9607,1.0000,0.9590,113300,190400,212200,107300,156800,168800,30.55,66.50
game_server_c192_r2,coop_rudp_r1_u20_128_192_broadcast_0_adaptive,coop_rudp,0,client_tick,0.8932,0.9951,1.0000,0.8954,0.9378,0.6667,0.9529,0.9571,1.0000,0.9554,119300,193300,221700,111800,161300,174900,32.20,50.56
game_server_c192_r3,coop_rudp_r1_u20_128_192_broadcast_0_adaptive,coop_rudp,0,client_tick,0.8918,0.9977,1.0000,0.8978,0.9396,0.6667,0.9548,0.9514,1.0000,0.9495,113400,178600,220500,111500,158600,170000,32.23,98.92
media_relay_c125_r1,coop_rudp_r0_u30_1000_125_broadcast_0_adaptive,coop_rudp,1,ok,0.9682,0.9900,,0.9900,1.0000,,1.0000,0.9780,,0.9780,0,0,0,59200,74500,81900,39.54,72.99
media_relay_c125_r2,coop_rudp_r0_u30_1000_125_broadcast_0_adaptive,coop_rudp,1,ok,0.9743,0.9925,,0.9925,1.0000,,1.0000,0.9817,,0.9817,0,0,0,58900,74200,79900,40.02,63.91
media_relay_c125_r3,coop_rudp_r0_u30_1000_125_broadcast_0_adaptive,coop_rudp,1,ok,0.9661,0.9858,,0.9858,1.0000,,1.0000,0.9800,,0.9800,0,0,0,59200,74400,81600,39.49,58.86
media_relay_c150_r1,coop_rudp_r0_u30_1000_150_broadcast_0_adaptive,coop_rudp,1,ok,0.7691,0.9921,,0.9921,1.0000,,1.0000,0.7752,,0.7752,0,0,0,69600,86500,91400,52.88,72.94
media_relay_c150_r2,coop_rudp_r0_u30_1000_150_broadcast_0_adaptive,coop_rudp,1,ok,0.7830,0.9868,,0.9868,1.0000,,1.0000,0.7935,,0.7935,0,0,0,68900,85900,90800,52.16,73.03
media_relay_c150_r3,coop_rudp_r0_u30_1000_150_broadcast_0_adaptive,coop_rudp,1,ok,0.7841,0.9910,,0.9910,1.0000,,1.0000,0.7913,,0.7913,0,0,0,69100,86100,91000,52.92,74.42
