run_id,scenario_id,library,rate_r,rate_u,size,conns,loss,mode,duration_s,warmup_s,ramp_up_ms,tail_ms,idle_policy,server_cpu_pin,client_cpu_pin,pinning_policy,flush_policy,supports_reliability,min_payload_bytes,max_payload_bytes,max_connections,transport_mode
echo_c3000_r1,coop_rudp_r50_u50_64_3000_echo_0_adaptive,coop_rudp,50,50,64,3000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,,unbounded,unknown
echo_c3000_r2,coop_rudp_r50_u50_64_3000_echo_0_adaptive,coop_rudp,50,50,64,3000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,,unbounded,unknown
echo_c3000_r3,coop_rudp_r50_u50_64_3000_echo_0_adaptive,coop_rudp,50,50,64,3000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,,unbounded,unknown
game_server_c128_r1,coop_rudp_r1_u20_128_128_broadcast_0_adaptive,coop_rudp,1,20,128,128,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,,unbounded,unknown
game_server_c128_r2,coop_rudp_r1_u20_128_128_broadcast_0_adaptive,coop_rudp,1,20,128,128,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,,unbounded,unknown
game_server_c128_r3,coop_rudp_r1_u20_128_128_broadcast_0_adaptive,coop_rudp,1,20,128,128,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,,unbounded,unknown
game_server_c192_r1,coop_rudp_r1_u20_128_192_broadcast_0_adaptive,coop_rudp,1,20,128,192,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,,unbounded,unknown
game_server_c192_r2,coop_rudp_r1_u20_128_192_broadcast_0_adaptive,coop_rudp,1,20,128,192,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,,unbounded,unknown
game_server_c192_r3,coop_rudp_r1_u20_128_192_broadcast_0_adaptive,coop_rudp,1,20,128,192,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,,unbounded,unknown
media_relay_c125_r1,coop_rudp_r0_u30_1000_125_broadcast_0_adaptive,coop_rudp,0,30,1000,125,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_unreliable,1,17,,unbounded,unknown
media_relay_c125_r2,coop_rudp_r0_u30_1000_125_broadcast_0_adaptive,coop_rudp,0,30,1000,125,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_unreliable,1,17,,unbounded,unknown
media_relay_c125_r3,coop_rudp_r0_u30_1000_125_broadcast_0_adaptive,coop_rudp,0,30,1000,125,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_unreliable,1,17,,unbounded,unknown
media_relay_c150_r1,coop_rudp_r0_u30_1000_150_broadcast_0_adaptive,coop_rudp,0,30,1000,150,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_unreliable,1,17,,unbounded,unknown
media_relay_c150_r2,coop_rudp_r0_u30_1000_150_broadcast_0_adaptive,coop_rudp,0,30,1000,150,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_unreliable,1,17,,unbounded,unknown
media_relay_c150_r3,coop_rudp_r0_u30_1000_150_broadcast_0_adaptive,coop_rudp,0,30,1000,150,0,broadcast,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_unreliable,1,17,,unbounded,unknown
