run_id,scenario_id,library,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,server_echo_accept_ratio,server_echo_accept_ratio_r,server_echo_accept_ratio_u,return_delivery_ratio,return_delivery_ratio_r,return_delivery_ratio_u,rtt_r_p50_us,rtt_r_p95_us,rtt_r_p99_us,rtt_u_p50_us,rtt_u_p95_us,rtt_u_p99_us,server_cpu_pct,server_cpu_pct_peak
echo_c1000_r1,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9898,0.9938,1.0000,0.9875,1.0000,1.0000,1.0000,0.9960,1.0000,0.9919,57300,70700,158600,57100,69100,74300,69.84,86.49
echo_c1000_r1,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9884,0.9941,1.0000,0.9881,1.0000,1.0000,1.0000,0.9943,1.0000,0.9886,51900,64700,149100,51100,62800,67500,26.46,34.79
echo_c1000_r1,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9949,1.0000,0.9899,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,70200,194100,530200,68700,88000,95000,137.62,166.95
echo_c1000_r1,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.7061,0.7573,0.8594,0.6532,1.0000,1.0000,1.0000,0.9324,0.9992,0.8445,352300,1646000,3547000,145200,542300,664500,95.28,100.00
echo_c1000_r1,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8090,0.8121,1.0003,0.6243,1.0000,1.0000,1.0000,0.9962,1.0000,0.9900,251200,575600,805600,112800,216500,266900,181.79,194.59
echo_c1000_r2,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9913,0.9951,1.0000,0.9902,1.0000,1.0000,1.0000,0.9961,1.0000,0.9922,55300,68900,153300,55000,67300,72600,62.30,73.39
echo_c1000_r2,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9898,0.9946,1.0000,0.9891,1.0000,1.0000,1.0000,0.9952,1.0000,0.9903,51200,64200,150400,50500,62200,67000,27.09,33.02
echo_c1000_r2,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,68800,204100,565700,66900,82800,92100,142.66,164.23
echo_c1000_r2,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8505,0.8834,0.9862,0.7766,1.0000,1.0000,1.0000,0.9628,0.9998,0.9159,192500,1197000,3064000,88100,165200,258300,98.01,99.81
echo_c1000_r2,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8531,0.8566,1.0000,0.7133,1.0000,1.0000,1.0000,0.9958,1.0000,0.9900,186800,412000,573800,95400,157600,186000,181.95,195.02
echo_c1000_r3,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9898,0.9940,1.0000,0.9880,1.0000,1.0000,1.0000,0.9957,1.0000,0.9914,55400,68300,155700,55200,66500,71300,60.79,76.09
echo_c1000_r3,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9895,0.9944,1.0000,0.9889,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,51300,64100,150700,50500,62200,67200,27.80,100.95
echo_c1000_r3,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9902,0.9951,1.0000,0.9902,1.0000,1.0000,1.0000,0.9951,0.9999,0.9902,68000,191500,559500,65300,78200,88300,138.73,171.97
echo_c1000_r3,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8251,0.8592,0.9668,0.7394,1.0000,1.0000,1.0000,0.9603,0.9987,0.9101,249900,1791000,4175000,91400,184200,326200,96.35,100.00
echo_c1000_r3,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8425,0.8460,1.0000,0.6919,1.0000,1.0000,1.0000,0.9959,1.0000,0.9899,195400,435800,607600,103600,176700,206700,181.96,195.19
echo_c1500_r1,coop_rudp_r50_u50_64_1500_echo_0_adaptive,coop_rudp,1,ok,0.9898,0.9946,1.0000,0.9892,1.0000,1.0000,1.0000,0.9952,1.0000,0.9903,57600,74700,157800,57400,71800,84300,80.83,100.00
echo_c1500_r1,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,1,ok,0.9898,0.9952,1.0000,0.9903,1.0000,1.0000,1.0000,0.9947,1.0000,0.9892,51200,64300,151400,50600,62200,67100,34.11,42.44
echo_c1500_r1,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,74000,201500,541900,72600,92900,101400,161.50,185.31
