run_id,scenario_id,library,rate_r,rate_u,size,conns,loss,mode,duration_s,warmup_s,ramp_up_ms,tail_ms,idle_policy,server_cpu_pin,client_cpu_pin,pinning_policy,flush_policy,supports_reliability,min_payload_bytes,max_payload_bytes,max_connections,transport_mode
echo_c1000_r1,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,1148,4096,udp_datagram_sack
echo_c1000_r1,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",piggyback_sack_retransmit,1,17,65486,unbounded,udp_datagram_sack
echo_c1000_r1,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,50,50,64,1000,0,echo,20,5,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",library_internal,1,17,1000,unbounded,litenetlib_message
echo_c1000_r1,enet_r50_u50_64_1000_echo_0_adaptive,enet,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",poll_flush,1,17,65536,4095,enet_packet
echo_c1000_r1,gns_r50_u50_64_1000_echo_0_adaptive,gns,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle,1,17,65536,unbounded,gns_message
echo_c1000_r2,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,1148,4096,udp_datagram_sack
echo_c1000_r2,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",piggyback_sack_retransmit,1,17,65486,unbounded,udp_datagram_sack
echo_c1000_r2,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,50,50,64,1000,0,echo,20,5,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",library_internal,1,17,1000,unbounded,litenetlib_message
echo_c1000_r2,enet_r50_u50_64_1000_echo_0_adaptive,enet,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",poll_flush,1,17,65536,4095,enet_packet
echo_c1000_r2,gns_r50_u50_64_1000_echo_0_adaptive,gns,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle,1,17,65536,unbounded,gns_message
echo_c1000_r3,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,1148,4096,udp_datagram_sack
echo_c1000_r3,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",piggyback_sack_retransmit,1,17,65486,unbounded,udp_datagram_sack
echo_c1000_r3,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,50,50,64,1000,0,echo,20,5,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",library_internal,1,17,1000,unbounded,litenetlib_message
echo_c1000_r3,enet_r50_u50_64_1000_echo_0_adaptive,enet,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",poll_flush,1,17,65536,4095,enet_packet
echo_c1000_r3,gns_r50_u50_64_1000_echo_0_adaptive,gns,50,50,64,1000,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",no_nagle,1,17,65536,unbounded,gns_message
echo_c1500_r1,coop_rudp_r50_u50_64_1500_echo_0_adaptive,coop_rudp,50,50,64,1500,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,1148,4096,udp_datagram_sack
echo_c1500_r1,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,50,50,64,1500,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",piggyback_sack_retransmit,1,17,65486,unbounded,udp_datagram_sack
echo_c1500_r1,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,50,50,64,1500,0,echo,20,5,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",library_internal,1,17,1000,unbounded,litenetlib_message
echo_c1500_r2,coop_rudp_r50_u50_64_1500_echo_0_adaptive,coop_rudp,50,50,64,1500,0,echo,20,2,0,500,adaptive,"7,15","5,6,13,14","server=7,15;client=5,6,13,14",coop_flush_sack_retransmit,1,17,1148,4096,udp_datagram_sack
