run_id,scenario_id,library,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,server_echo_accept_ratio,server_echo_accept_ratio_r,server_echo_accept_ratio_u,return_delivery_ratio,return_delivery_ratio_r,return_delivery_ratio_u,rtt_r_p50_us,rtt_r_p95_us,rtt_r_p99_us,rtt_u_p50_us,rtt_u_p95_us,rtt_u_p99_us,server_cpu_pct,server_cpu_pct_peak
echo_c1000_r1,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9921,0.9959,1.0000,0.9918,1.0000,1.0000,1.0000,0.9962,1.0000,0.9924,55500,68000,151700,55300,66500,71600,59.92,74.95
echo_c1000_r1,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9902,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9952,1.0000,0.9903,51100,64900,153500,50500,62000,67000,28.96,44.72
echo_c1000_r1,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8590,0.8817,0.9852,0.7750,1.0000,1.0000,1.0000,0.9743,0.9993,0.9426,184600,1174000,2804000,79300,135100,217500,95.94,99.82
echo_c1000_r1,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.9900,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,83300,135400,182800,81800,103700,118800,147.71,159.94
echo_c1000_r1,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9898,0.9947,1.0000,0.9894,1.0000,1.0000,1.0000,0.9951,0.9999,0.9902,69200,210300,620900,67500,90600,108700,134.62,163.87
echo_c1000_r2,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9903,0.9954,1.0000,0.9908,1.0000,1.0000,1.0000,0.9948,1.0000,0.9896,55000,68400,155700,54800,66700,72000,60.05,69.23
echo_c1000_r2,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9905,0.9953,1.0000,0.9906,1.0000,1.0000,1.0000,0.9952,1.0000,0.9903,51200,64600,151400,50600,62200,67200,28.66,53.21
echo_c1000_r2,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8606,0.8864,0.9879,0.7803,1.0000,1.0000,1.0000,0.9709,0.9996,0.9346,172200,1080000,2536000,77200,125000,192400,97.89,99.85
echo_c1000_r2,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.9900,0.9950,1.0000,0.9899,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,83500,136700,183300,82300,103300,122800,148.27,160.66
echo_c1000_r2,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9899,0.9950,0.9999,0.9900,1.0000,1.0000,1.0000,0.9949,0.9999,0.9898,67600,191000,533800,65400,78500,88400,138.14,176.29
echo_c1000_r3,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9911,0.9955,1.0000,0.9910,1.0000,1.0000,1.0000,0.9956,1.0000,0.9912,55300,68000,153900,55100,66700,70900,59.50,65.85
echo_c1000_r3,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9899,0.9952,1.0000,0.9904,1.0000,1.0000,1.0000,0.9947,1.0000,0.9894,51200,64400,152300,50400,62100,67000,28.14,62.07
echo_c1000_r3,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8662,0.8887,0.9898,0.7843,1.0000,1.0000,1.0000,0.9747,0.9997,0.9432,171500,1109000,2560000,78200,124800,169300,97.91,110.53
echo_c1000_r3,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.9901,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,84700,138900,185300,83400,105100,124800,152.74,161.90
echo_c1000_r3,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9950,0.9999,0.9900,1.0000,1.0000,1.0000,0.9950,0.9999,0.9899,67900,190700,598900,65800,78400,88800,140.00,182.57
echo_c1500_r1,coop_rudp_r50_u50_64_1500_echo_0_adaptive,coop_rudp,1,ok,0.9883,0.9941,1.0000,0.9883,1.0000,1.0000,1.0000,0.9941,1.0000,0.9881,57000,71400,157900,56800,69500,74500,81.46,100.00
echo_c1500_r1,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,1,ok,0.9904,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9954,1.0000,0.9908,51200,64200,152100,50700,62100,67000,34.41,73.63
echo_c1500_r1,gns_r50_u50_64_1500_echo_0_adaptive,gns,1,ok,0.9901,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,133500,220600,300300,130000,170800,193200,172.79,186.62
echo_c1500_r1,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9950,0.9999,0.9900,1.0000,1.0000,1.0000,0.9950,0.9999,0.9901,73800,198000,555200,72600,92900,101800,161.21,183.26
echo_c1500_r2,coop_rudp_r50_u50_64_1500_echo_0_adaptive,coop_rudp,0,client_tick,0.9225,0.9265,0.9583,0.8170,1.0000,1.0000,1.0000,0.9957,1.0000,0.9907,66900,699000,1040000,63900,436400,653500,90.14,100.01
echo_c1500_r2,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,1,ok,0.9898,0.9948,1.0000,0.9897,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,51300,64500,153000,50500,62100,67200,33.77,39.94
echo_c1500_r2,gns_r50_u50_64_1500_echo_0_adaptive,gns,1,ok,0.9897,0.9948,1.0000,0.9896,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,143300,237900,322000,139700,189100,218600,175.34,188.94
echo_c1500_r2,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,1,ok,0.9901,0.9949,1.0000,0.9898,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,73400,202800,554900,72300,92200,101500,160.55,183.21
echo_c1500_r3,coop_rudp_r50_u50_64_1500_echo_0_adaptive,coop_rudp,1,ok,0.9902,0.9952,1.0000,0.9904,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,56700,70500,157500,56600,68700,73800,79.94,96.13
echo_c1500_r3,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,1,ok,0.9907,0.9953,1.0000,0.9905,1.0000,1.0000,1.0000,0.9954,1.0000,0.9907,51100,64400,152200,50600,62300,67000,34.06,100.00
echo_c1500_r3,gns_r50_u50_64_1500_echo_0_adaptive,gns,1,ok,0.9900,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,130800,217700,293700,128600,168400,188500,172.68,186.19
echo_c1500_r3,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9949,1.0000,0.9899,1.0000,1.0000,1.0000,0.9950,0.9999,0.9901,73600,210400,552300,72500,92600,102000,162.18,184.33
echo_c1_r1,mini_rudp_r50_u50_64_1_echo_0_adaptive,mini_rudp,1,ok,0.9885,0.9970,1.0000,0.9940,1.0000,1.0000,1.0000,0.9915,1.0000,0.9829,49900,64200,101900,50200,61900,66200,11.82,16.96
echo_c1_r1,coop_rudp_r50_u50_64_1_echo_0_adaptive,coop_rudp,1,ok,0.9895,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9945,1.0000,0.9889,50200,62800,144400,50300,61500,66300,20.50,25.08
echo_c1_r1,apex_rudp_r50_u50_64_1_echo_0_adaptive,apex_rudp,1,ok,0.9890,0.9965,1.0000,0.9930,1.0000,1.0000,1.0000,0.9925,1.0000,0.9849,50500,63500,151900,50000,61800,65800,13.85,18.77
echo_c1_r1,enet_r50_u50_64_1_echo_0_adaptive,enet,1,ok,0.9885,0.9955,1.0000,0.9910,1.0000,1.0000,1.0000,0.9930,1.0000,0.9859,50800,88700,131400,50300,62000,67200,13.60,19.07
echo_c1_r1,kcp_r50_u50_64_1_echo_0_adaptive,kcp,1,ok,0.9895,0.9940,1.0000,0.9880,1.0000,1.0000,1.0000,0.9955,1.0000,0.9909,57300,87700,126800,50100,61800,66200,11.83,16.77
echo_c1_r1,slikenet_r50_u50_64_1_echo_0_adaptive,slikenet,1,ok,0.9910,0.9960,1.0000,0.9920,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,63500,87900,134400,63000,75100,80000,10.71,14.77
