profile,library,status,last_ok_conns,last_ok_delivery,last_ok_server_cpu,break_conns,break_reason,break_delivery,break_server_cpu
echo,apex_rudp,not_broken,3000,0.9902,58.40,,,,
echo,coop_rudp,broken,1500,0.9903,78.26,2000,aggregate_invalid:valid_runs=1/3,0.7846,97.76
echo,enet,broken,600,0.9880,94.18,1000,delivery<0.95,0.8578,96.81
echo,gns,broken,600,0.9897,160.52,1000,delivery<0.95,0.8524,182.16
echo,kcp,broken,200,0.9901,38.00,600,delivery<0.95,0.8804,91.17
echo,litenetlib,broken,2000,0.9898,169.43,3000,aggregate_invalid:client_tick,,
echo,mini_rudp,broken,200,0.9900,55.72,600,delivery<0.95,0.7177,99.00
echo,msquic,broken,1,0.9900,10.96,50,delivery<0.95,0.6198,35.93
echo,raknet,broken,50,0.9901,23.21,200,aggregate_invalid:client_tick,,
echo,raw_udp,unsupported,unsupported,,,1,unsupported_reliable,,
echo,slikenet,broken,1,0.9885,10.68,50,unsupported_conns,,
echo,udt4,unsupported,unsupported,,,1,unsupported_unreliable,,
echo,yojimbo,below_gate,below_gate,,,1,delivery<0.95,0.5665,68.04
game_server,apex_rudp,broken,128,0.9788,25.93,192,delivery<0.95,0.6936,32.24
game_server,coop_rudp,broken,5,0.9833,20.51,64,delivery<0.95,0.9102,31.35
game_server,enet,broken,5,0.9765,14.01,64,delivery<0.95,0.9321,42.43
game_server,gns,broken,64,0.9809,159.98,96,delivery<0.95,0.4153,167.10
game_server,kcp,broken,5,0.9806,11.86,64,delivery<0.95,0.8708,53.90
game_server,litenetlib,broken,96,0.9812,38.10,128,aggregate_invalid:client_tick,,
game_server,mini_rudp,broken,5,0.9830,12.14,64,delivery<0.95,0.7420,66.68
game_server,msquic,broken,1,0.9833,10.53,5,delivery<0.95,0.6776,12.84
game_server,raknet,broken,5,0.9783,11.48,64,aggregate_invalid:valid_runs=1/3,0.9809,57.77
game_server,raw_udp,unsupported,unsupported,,,1,unsupported_reliable,,
game_server,slikenet,broken,1,0.9857,10.53,5,unsupported_conns,,
game_server,udt4,unsupported,unsupported,,,1,unsupported_unreliable,,
game_server,yojimbo,below_gate,below_gate,,,1,delivery<0.95,0.1976,67.09
media_relay,apex_rudp,broken,125,0.9724,58.96,150,delivery<0.95,0.6496,53.86
media_relay,coop_rudp,broken,100,0.9759,69.91,125,delivery<0.95,0.8103,87.98
media_relay,enet,broken,50,0.9540,78.23,75,delivery<0.95,0.4900,96.14
media_relay,gns,broken,5,0.9800,22.21,50,delivery<0.95,0.1529,84.88
media_relay,kcp,broken,50,0.9747,71.02,75,delivery<0.95,0.5277,93.62
media_relay,litenetlib,broken,50,0.9800,95.51,75,aggregate_invalid:client_tick,,
media_relay,mini_rudp,broken,50,0.9743,70.89,75,delivery<0.95,0.5315,64.96
media_relay,msquic,broken,1,0.9733,10.62,5,delivery<0.95,0.6775,13.95
media_relay,raknet,broken,5,0.9801,12.20,50,aggregate_invalid:valid_runs=1/3,0.8221,121.88
media_relay,raw_udp,broken,50,0.9804,70.54,75,delivery<0.95,0.5310,11.16
media_relay,slikenet,broken,1,0.9700,10.55,5,unsupported_conns,,
media_relay,udt4,unsupported,unsupported,,,1,unsupported_unreliable,,
media_relay,yojimbo,below_gate,below_gate,,,1,delivery<0.95,0.0900,67.48
reliable_echo,apex_rudp,not_broken,3000,1.0000,36.45,,,,
reliable_echo,coop_rudp,broken,2000,1.0000,83.44,3000,aggregate_invalid:client_tick,,
reliable_echo,enet,broken,1000,1.0000,96.18,1500,delivery<0.95,0.3036,97.34
reliable_echo,gns,broken,1500,0.9999,176.67,2000,delivery<0.95,0.8302,179.70
reliable_echo,kcp,broken,1000,0.9994,91.43,1500,delivery<0.95,0.9172,90.94
reliable_echo,litenetlib,not_broken,3000,0.9992,178.29,,,,
reliable_echo,mini_rudp,broken,600,0.9911,99.54,1000,aggregate_invalid:server_crash,,
reliable_echo,msquic,broken,1,1.0000,11.00,50,delivery<0.95,0.6263,29.46
reliable_echo,raknet,broken,50,0.9689,22.77,200,aggregate_invalid:client_tick,,
reliable_echo,raw_udp,unsupported,unsupported,,,1,unsupported_reliable,,
reliable_echo,slikenet,broken,1,1.0000,10.61,50,unsupported_conns,,
reliable_echo,udt4,below_gate,below_gate,,,1,delivery<0.95,0.0230,16.37
reliable_echo,yojimbo,below_gate,below_gate,,,1,delivery<0.95,0.1820,67.42
