run_id,scenario_id,library,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,server_echo_accept_ratio,server_echo_accept_ratio_r,server_echo_accept_ratio_u,return_delivery_ratio,return_delivery_ratio_r,return_delivery_ratio_u,rtt_r_p50_us,rtt_r_p95_us,rtt_r_p99_us,rtt_u_p50_us,rtt_u_p95_us,rtt_u_p99_us,server_cpu_pct,server_cpu_pct_peak
echo_c1000_r1,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9893,0.9941,1.0000,0.9882,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,55200,68800,154400,55100,66900,71600,60.86,75.92
echo_c1000_r1,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9897,0.9942,1.0000,0.9885,1.0000,1.0000,1.0000,0.9954,1.0000,0.9907,51300,64600,153500,50600,62100,67000,28.93,74.49
echo_c1000_r1,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8736,0.8946,0.9953,0.7917,1.0000,1.0000,1.0000,0.9765,0.9997,0.9472,159000,969700,2505000,78400,119400,159300,96.01,100.00
echo_c1000_r1,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8484,0.8519,1.0000,0.7037,1.0000,1.0000,1.0000,0.9959,1.0000,0.9900,189100,433400,611600,95100,152900,174700,180.96,195.69
echo_c1000_r1,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9899,0.9949,0.9999,0.9898,1.0000,1.0000,1.0000,0.9950,0.9999,0.9900,67400,189300,538200,65200,78000,87400,137.07,165.04
echo_c1000_r2,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9900,0.9935,1.0000,0.9870,1.0000,1.0000,1.0000,0.9965,1.0000,0.9929,55100,68300,153400,54900,66700,71300,60.82,77.23
echo_c1000_r2,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9896,0.9943,1.0000,0.9885,1.0000,1.0000,1.0000,0.9953,1.0000,0.9905,51100,63800,152900,50700,62300,67200,28.67,32.44
echo_c1000_r2,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8578,0.8873,0.9884,0.7819,1.0000,1.0000,1.0000,0.9668,0.9995,0.9255,183400,1064000,2589000,90100,160000,188000,96.81,99.72
echo_c1000_r2,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8524,0.8561,1.0000,0.7121,1.0000,1.0000,1.0000,0.9957,1.0000,0.9898,178600,395600,550000,94400,162700,189300,182.16,194.83
echo_c1000_r2,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9901,0.9951,1.0000,0.9902,1.0000,1.0000,1.0000,0.9950,0.9999,0.9901,67600,189600,537900,65300,78800,89900,138.48,167.43
echo_c1000_r3,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9904,0.9959,1.0000,0.9918,1.0000,1.0000,1.0000,0.9945,1.0000,0.9889,55200,68100,153900,55100,66900,71500,61.33,79.31
echo_c1000_r3,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9874,0.9933,1.0000,0.9865,1.0000,1.0000,1.0000,0.9941,1.0000,0.9881,51100,65100,152700,50500,62200,66900,28.60,32.44
echo_c1000_r3,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8224,0.8522,0.9477,0.7514,1.0000,1.0000,1.0000,0.9651,0.9979,0.9237,194700,1125000,2745000,87300,213400,570500,97.81,101.96
echo_c1000_r3,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8552,0.8588,1.0000,0.7176,1.0000,1.0000,1.0000,0.9958,1.0000,0.9901,177000,393400,542400,91300,167800,190600,184.05,194.84
echo_c1000_r3,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9901,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9951,0.9999,0.9902,67600,191800,528900,65100,78100,87700,140.60,168.23
echo_c1500_r1,coop_rudp_r50_u50_64_1500_echo_0_adaptive,coop_rudp,1,ok,0.9904,0.9949,1.0000,0.9899,1.0000,1.0000,1.0000,0.9954,1.0000,0.9907,56700,70000,156600,56500,68500,73000,78.61,98.23
echo_c1500_r1,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,1,ok,0.9894,0.9946,1.0000,0.9891,1.0000,1.0000,1.0000,0.9948,1.0000,0.9895,51200,64500,151400,50500,62100,67000,33.48,53.04
echo_c1500_r1,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9949,1.0000,0.9899,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,73700,198700,552500,72300,92400,101600,164.70,189.55
echo_c1500_r2,coop_rudp_r50_u50_64_1500_echo_0_adaptive,coop_rudp,1,ok,0.9903,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9952,1.0000,0.9903,56600,69900,157000,56500,68300,73100,78.26,98.14
echo_c1500_r2,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,1,ok,0.9896,0.9946,1.0000,0.9893,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,51300,64400,150700,50500,62200,66800,32.90,40.82
echo_c1500_r2,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,1,ok,0.9902,0.9951,1.0000,0.9902,1.0000,1.0000,1.0000,0.9951,0.9999,0.9902,73500,200300,535300,72300,92400,99200,162.12,188.16
echo_c1500_r3,coop_rudp_r50_u50_64_1500_echo_0_adaptive,coop_rudp,1,ok,0.9894,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9943,1.0000,0.9885,56200,69600,155700,56000,67900,73100,77.92,92.82
echo_c1500_r3,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,1,ok,0.9900,0.9955,1.0000,0.9909,1.0000,1.0000,1.0000,0.9945,1.0000,0.9889,51400,64200,148800,50500,62400,67200,34.38,51.54
echo_c1500_r3,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9949,1.0000,0.9898,1.0000,1.0000,1.0000,0.9950,0.9999,0.9901,73700,200200,591900,72200,92300,100600,160.60,182.41
echo_c1_r1,mini_rudp_r50_u50_64_1_echo_0_adaptive,mini_rudp,1,ok,0.9910,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9960,1.0000,0.9919,50500,64000,103700,50100,62700,66900,11.99,16.91
echo_c1_r1,coop_rudp_r50_u50_64_1_echo_0_adaptive,coop_rudp,1,ok,0.9950,0.9985,1.0000,0.9970,1.0000,1.0000,1.0000,0.9965,1.0000,0.9930,50100,63100,127600,49700,62400,67500,20.49,23.38
echo_c1_r1,apex_rudp_r50_u50_64_1_echo_0_adaptive,apex_rudp,1,ok,0.9890,0.9945,1.0000,0.9890,1.0000,1.0000,1.0000,0.9945,1.0000,0.9889,49800,62000,149700,49900,61200,65600,13.78,17.64
echo_c1_r1,enet_r50_u50_64_1_echo_0_adaptive,enet,1,ok,0.9900,0.9935,1.0000,0.9870,1.0000,1.0000,1.0000,0.9965,1.0000,0.9929,51100,79300,118600,50200,62200,65500,13.68,20.83
echo_c1_r1,kcp_r50_u50_64_1_echo_0_adaptive,kcp,1,ok,0.9865,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9915,1.0000,0.9828,58300,103700,130800,50200,62200,66800,11.73,18.11
echo_c1_r1,slikenet_r50_u50_64_1_echo_0_adaptive,slikenet,1,ok,0.9920,0.9965,1.0000,0.9930,1.0000,1.0000,1.0000,0.9955,1.0000,0.9909,63000,87300,142400,62300,75500,80600,10.70,15.52
echo_c1_r1,raknet_r50_u50_64_1_echo_0_adaptive,raknet,0,client_tick,0.9858,0.9914,0.9800,0.9690,1.0000,1.0000,1.0000,0.9944,1.0000,0.9886,63400,103600,148500,62400,75100,79800,10.63,15.60
echo_c1_r1,yojimbo_r50_u50_64_1_echo_0_adaptive,yojimbo,1,ok,0.5685,0.5705,0.9730,0.1680,1.0000,1.0000,1.0000,0.9965,1.0000,0.9762,1502000,2571000,3251000,44400,53300,58100,68.07,78.03
echo_c1_r1,gns_r50_u50_64_1_echo_0_adaptive,gns,1,ok,0.9905,0.9945,1.0000,0.9890,1.0000,1.0000,1.0000,0.9960,1.0000,0.9919,51100,93600,135600,50100,62200,68300,20.67,24.32
echo_c1_r1,litenetlib_r50_u50_64_1_echo_0_adaptive,litenetlib,1,ok,0.9895,0.9940,1.0000,0.9880,1.0000,1.0000,1.0000,0.9955,1.0000,0.9909,61500,144900,197300,60300,74300,80800,10.83,47.54
echo_c1_r1,msquic_r50_u50_64_1_echo_0_adaptive,msquic,1,ok,0.9875,0.9940,1.0000,0.9880,1.0000,1.0000,1.0000,0.9935,1.0000,0.9868,51100,93500,122700,49900,61900,68000,10.96,14.39
echo_c1_r2,mini_rudp_r50_u50_64_1_echo_0_adaptive,mini_rudp,1,ok,0.9935,0.9980,1.0000,0.9960,1.0000,1.0000,1.0000,0.9955,1.0000,0.9910,50500,63800,100200,50100,61800,69400,11.92,19.09
echo_c1_r2,coop_rudp_r50_u50_64_1_echo_0_adaptive,coop_rudp,1,ok,0.9925,0.9960,1.0000,0.9920,1.0000,1.0000,1.0000,0.9965,1.0000,0.9929,50600,63300,137600,50300,62400,65500,20.48,26.23
echo_c1_r2,apex_rudp_r50_u50_64_1_echo_0_adaptive,apex_rudp,1,ok,0.9915,0.9945,1.0000,0.9890,1.0000,1.0000,1.0000,0.9970,1.0000,0.9939,49600,62200,148300,50000,61500,65900,13.64,20.15
echo_c1_r2,enet_r50_u50_64_1_echo_0_adaptive,enet,1,ok,0.9930,0.9975,1.0000,0.9950,1.0000,1.0000,1.0000,0.9955,1.0000,0.9910,50800,84100,125900,50000,62000,66800,13.44,18.61
echo_c1_r2,kcp_r50_u50_64_1_echo_0_adaptive,kcp,1,ok,0.9940,0.9960,1.0000,0.9920,1.0000,1.0000,1.0000,0.9980,1.0000,0.9960,57900,81200,121200,50400,61300,65800,11.58,17.87
echo_c1_r2,slikenet_r50_u50_64_1_echo_0_adaptive,slikenet,1,ok,0.9845,0.9930,1.0000,0.9860,1.0000,1.0000,1.0000,0.9914,1.0000,0.9828,63300,112700,140700,61900,74900,79700,10.61,15.66
echo_c1_r2,raknet_r50_u50_64_1_echo_0_adaptive,raknet,1,ok,0.9870,0.9935,1.0000,0.9870,1.0000,1.0000,1.0000,0.9935,1.0000,0.9868,63800,115400,144000,62400,75700,81300,10.68,19.89
echo_c1_r2,yojimbo_r50_u50_64_1_echo_0_adaptive,yojimbo,1,ok,0.4725,0.4730,0.7820,0.1640,1.0000,1.0000,1.0000,0.9989,1.0000,0.9939,1483000,2653000,2928000,44200,54500,57800,68.04,77.10
echo_c1_r2,gns_r50_u50_64_1_echo_0_adaptive,gns,1,ok,0.9935,0.9970,1.0000,0.9940,1.0000,1.0000,1.0000,0.9965,1.0000,0.9930,50900,71300,126300,50200,61500,67200,20.55,25.35
echo_c1_r2,litenetlib_r50_u50_64_1_echo_0_adaptive,litenetlib,1,ok,0.9870,0.9930,1.0000,0.9860,1.0000,1.0000,1.0000,0.9940,1.0000,0.9878,62500,162800,198700,60400,74300,79300,10.82,48.83
echo_c1_r2,msquic_r50_u50_64_1_echo_0_adaptive,msquic,1,ok,0.9900,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,51300,78200,117500,50300,62200,66700,10.95,14.68
echo_c1_r3,mini_rudp_r50_u50_64_1_echo_0_adaptive,mini_rudp,1,ok,0.9890,0.9955,1.0000,0.9910,1.0000,1.0000,1.0000,0.9935,1.0000,0.9869,50300,64300,100900,50000,61200,65400,11.95,17.91
echo_c1_r3,coop_rudp_r50_u50_64_1_echo_0_adaptive,coop_rudp,1,ok,0.9910,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9960,1.0000,0.9919,49800,63700,145300,49700,61900,65900,20.34,24.15
echo_c1_r3,apex_rudp_r50_u50_64_1_echo_0_adaptive,apex_rudp,1,ok,0.9885,0.9955,1.0000,0.9910,1.0000,1.0000,1.0000,0.9930,1.0000,0.9859,50400,63200,149500,50200,62000,66700,13.80,19.40
echo_c1_r3,enet_r50_u50_64_1_echo_0_adaptive,enet,1,ok,0.9930,0.9970,1.0000,0.9940,1.0000,1.0000,1.0000,0.9960,1.0000,0.9920,50800,83200,123200,50400,62600,66400,13.58,20.18
echo_c1_r3,kcp_r50_u50_64_1_echo_0_adaptive,kcp,1,ok,0.9945,0.9970,1.0000,0.9940,1.0000,1.0000,1.0000,0.9975,1.0000,0.9950,57700,77700,124300,50400,61500,67500,11.73,18.12
echo_c1_r3,slikenet_r50_u50_64_1_echo_0_adaptive,slikenet,1,ok,0.9885,0.9945,1.0000,0.9890,1.0000,1.0000,1.0000,0.9940,1.0000,0.9879,63500,101900,140800,62300,75900,79900,10.68,14.26
echo_c1_r3,raknet_r50_u50_64_1_echo_0_adaptive,raknet,1,ok,0.9885,0.9940,1.0000,0.9880,1.0000,1.0000,1.0000,0.9945,1.0000,0.9889,63400,108000,156900,62500,74700,81400,10.59,15.33
echo_c1_r3,yojimbo_r50_u50_64_1_echo_0_adaptive,yojimbo,1,ok,0.5665,0.5675,0.9730,0.1620,1.0000,1.0000,1.0000,0.9982,1.0000,0.9877,1406000,2686000,3144000,44000,52400,54500,67.66,79.12
echo_c1_r3,gns_r50_u50_64_1_echo_0_adaptive,gns,1,ok,0.9900,0.9930,1.0000,0.9860,1.0000,1.0000,1.0000,0.9970,1.0000,0.9939,51300,93200,135800,50500,62100,67000,20.53,24.83
echo_c1_r3,litenetlib_r50_u50_64_1_echo_0_adaptive,litenetlib,1,ok,0.9935,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9985,1.0000,0.9970,61700,120800,189000,60900,75100,80200,10.90,47.17
echo_c1_r3,msquic_r50_u50_64_1_echo_0_adaptive,msquic,1,ok,0.9910,0.9970,1.0000,0.9940,1.0000,1.0000,1.0000,0.9940,1.0000,0.9879,50800,72200,115500,50200,61600,66800,10.97,15.38
echo_c2000_r1,coop_rudp_r50_u50_64_2000_echo_0_adaptive,coop_rudp,0,client_tick,0.6739,0.6826,0.9614,0.3505,1.0000,1.0000,1.0000,0.9874,0.9863,0.9902,609100,1071000,1546000,449100,628300,690300,97.80,100.01
