library,scenario_id,conns,n_total,n_valid,valid,delivery_ratio_median,forward_delivery_ratio_median,forward_delivery_ratio_r_median,forward_delivery_ratio_u_median,server_echo_accept_ratio_median,server_echo_accept_ratio_r_median,server_echo_accept_ratio_u_median,return_delivery_ratio_median,return_delivery_ratio_r_median,return_delivery_ratio_u_median,server_cpu_pct_median,server_cpu_pct_peak_median,rtt_r_p50_us_median,rtt_r_p95_us_median,rtt_r_p99_us_median,rtt_u_p50_us_median,rtt_u_p95_us_median,rtt_u_p99_us_median,included_run_ids,note
apex_rudp,apex_rudp_r0_u30_1000_100_broadcast_0_adaptive,100,3,3,1,0.9750,0.9895,,0.9861,1.0000,,1.0000,0.9860,,0.9860,42.72,61.94,0,0,0,54200,66700,82200,media_relay_c100_r1;media_relay_c100_r2;media_relay_c100_r3,
apex_rudp,apex_rudp_r0_u30_1000_125_broadcast_0_adaptive,125,3,3,1,0.9724,0.9882,,0.9816,1.0000,,1.0000,0.9821,,0.9821,58.96,79.75,0,0,0,63900,96200,135700,media_relay_c125_r1;media_relay_c125_r2;media_relay_c125_r3,
apex_rudp,apex_rudp_r0_u30_1000_150_broadcast_0_adaptive,150,3,3,1,0.6496,0.9910,,0.9910,1.0000,,1.0000,0.6555,,0.6555,53.86,83.04,0,0,0,1635000,1847000,1873000,media_relay_c150_r1;media_relay_c150_r2;media_relay_c150_r3,
apex_rudp,apex_rudp_r0_u30_1000_1_broadcast_0_adaptive,1,3,3,1,0.9867,0.9917,,0.9917,1.0000,,1.0000,0.9950,,0.9950,13.70,18.28,0,0,0,50000,62100,66100,media_relay_c1_r1;media_relay_c1_r2;media_relay_c1_r3,
apex_rudp,apex_rudp_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9789,0.9883,,0.9883,1.0000,,1.0000,0.9902,,0.9902,20.38,25.74,0,0,0,51100,63000,68700,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
apex_rudp,apex_rudp_r0_u30_1000_5_broadcast_0_adaptive,5,3,3,1,0.9797,0.9917,,0.9917,1.0000,,1.0000,0.9909,,0.9909,13.78,18.74,0,0,0,50200,61800,67000,media_relay_c5_r1;media_relay_c5_r2;media_relay_c5_r3,
apex_rudp,apex_rudp_r0_u30_1000_75_broadcast_0_adaptive,75,3,3,1,0.9790,0.9892,,0.9855,1.0000,,1.0000,0.9890,,0.9890,27.29,35.31,0,0,0,51900,64000,71900,media_relay_c75_r1;media_relay_c75_r2;media_relay_c75_r3,
apex_rudp,apex_rudp_r1_u20_128_128_broadcast_0_adaptive,128,3,3,1,0.9788,0.9904,1.0000,0.9850,1.0000,1.0000,1.0000,0.9883,0.9586,0.9898,25.93,54.92,73100,216700,258400,58900,83100,144600,game_server_c128_r1;game_server_c128_r2;game_server_c128_r3,
apex_rudp,apex_rudp_r1_u20_128_192_broadcast_0_adaptive,192,3,3,1,0.6936,0.9905,1.0000,0.9900,1.0000,1.0000,1.0000,0.7009,0.7385,0.6990,32.24,90.87,1403000,1487000,1508000,1421000,1498000,1534000,game_server_c192_r1;game_server_c192_r2;game_server_c192_r3,
apex_rudp,apex_rudp_r1_u20_128_1_broadcast_0_adaptive,1,3,3,1,0.9810,0.9881,1.0000,0.9875,1.0000,1.0000,1.0000,0.9952,1.0000,0.9949,13.69,18.23,47700,69100,69100,50100,60900,66600,game_server_c1_r1;game_server_c1_r2;game_server_c1_r3,
apex_rudp,apex_rudp_r1_u20_128_5_broadcast_0_adaptive,5,3,3,1,0.9819,0.9881,1.0000,0.9875,1.0000,1.0000,1.0000,0.9923,1.0000,0.9919,13.72,18.76,50700,59300,61400,50100,61800,66400,game_server_c5_r1;game_server_c5_r2;game_server_c5_r3,
apex_rudp,apex_rudp_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9809,0.9905,1.0000,0.9900,1.0000,1.0000,1.0000,0.9908,1.0000,0.9904,16.64,22.99,53500,67200,72200,51200,62700,68000,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
apex_rudp,apex_rudp_r1_u20_128_96_broadcast_0_adaptive,96,3,3,1,0.9802,0.9929,1.0000,0.9925,1.0000,1.0000,1.0000,0.9872,0.9324,0.9899,21.47,36.52,61700,78200,82600,52700,66100,75700,game_server_c96_r1;game_server_c96_r2;game_server_c96_r3,
apex_rudp,apex_rudp_r50_u0_64_1000_echo_0_adaptive,1000,3,3,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,21.13,23.24,51400,64500,150400,0,0,0,reliable_echo_c1000_r1;reliable_echo_c1000_r2;reliable_echo_c1000_r3,
apex_rudp,apex_rudp_r50_u0_64_1500_echo_0_adaptive,1500,3,3,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,24.98,28.07,51300,64500,152200,0,0,0,reliable_echo_c1500_r1;reliable_echo_c1500_r2;reliable_echo_c1500_r3,
apex_rudp,apex_rudp_r50_u0_64_1_echo_0_adaptive,1,3,3,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,13.58,18.18,50300,62900,150300,0,0,0,reliable_echo_c1_r1;reliable_echo_c1_r2;reliable_echo_c1_r3,
apex_rudp,apex_rudp_r50_u0_64_2000_echo_0_adaptive,2000,3,3,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,28.69,45.77,51600,64800,151200,0,0,0,reliable_echo_c2000_r1;reliable_echo_c2000_r2;reliable_echo_c2000_r3,
apex_rudp,apex_rudp_r50_u0_64_200_echo_0_adaptive,200,3,3,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,15.81,17.66,50600,63700,150800,0,0,0,reliable_echo_c200_r1;reliable_echo_c200_r2;reliable_echo_c200_r3,
apex_rudp,apex_rudp_r50_u0_64_3000_echo_0_adaptive,3000,3,3,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,36.45,74.49,52100,64800,151800,0,0,0,reliable_echo_c3000_r1;reliable_echo_c3000_r2;reliable_echo_c3000_r3,
apex_rudp,apex_rudp_r50_u0_64_50_echo_0_adaptive,50,3,3,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,14.72,20.04,50400,63200,151300,0,0,0,reliable_echo_c50_r1;reliable_echo_c50_r2;reliable_echo_c50_r3,
apex_rudp,apex_rudp_r50_u0_64_600_echo_0_adaptive,600,3,3,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,18.45,19.70,50900,63400,149400,0,0,0,reliable_echo_c600_r1;reliable_echo_c600_r2;reliable_echo_c600_r3,
apex_rudp,apex_rudp_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.9896,0.9942,1.0000,0.9885,1.0000,1.0000,1.0000,0.9953,1.0000,0.9905,28.67,32.44,51100,64600,152900,50600,62200,67000,echo_c1000_r1;echo_c1000_r2;echo_c1000_r3,
apex_rudp,apex_rudp_r50_u50_64_1500_echo_0_adaptive,1500,3,3,1,0.9896,0.9946,1.0000,0.9893,1.0000,1.0000,1.0000,0.9948,1.0000,0.9895,33.48,51.54,51300,64400,150700,50500,62200,67000,echo_c1500_r1;echo_c1500_r2;echo_c1500_r3,
apex_rudp,apex_rudp_r50_u50_64_1_echo_0_adaptive,1,3,3,1,0.9890,0.9945,1.0000,0.9890,1.0000,1.0000,1.0000,0.9945,1.0000,0.9889,13.78,19.40,49800,62200,149500,50000,61500,65900,echo_c1_r1;echo_c1_r2;echo_c1_r3,
apex_rudp,apex_rudp_r50_u50_64_2000_echo_0_adaptive,2000,3,3,1,0.9906,0.9953,1.0000,0.9906,1.0000,1.0000,1.0000,0.9954,1.0000,0.9907,39.85,53.70,51500,64700,151400,50600,62300,67000,echo_c2000_r1;echo_c2000_r2;echo_c2000_r3,
apex_rudp,apex_rudp_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9904,0.9954,1.0000,0.9908,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,17.34,20.51,50400,63900,151100,50200,61900,66600,echo_c200_r1;echo_c200_r2;echo_c200_r3,
apex_rudp,apex_rudp_r50_u50_64_3000_echo_0_adaptive,3000,3,3,1,0.9902,0.9953,1.0000,0.9907,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,58.40,73.44,51800,64700,151400,51100,62800,67600,echo_c3000_r1;echo_c3000_r2;echo_c3000_r3,
apex_rudp,apex_rudp_r50_u50_64_50_echo_0_adaptive,50,3,3,1,0.9887,0.9943,1.0000,0.9885,1.0000,1.0000,1.0000,0.9941,1.0000,0.9881,15.33,19.80,50300,63400,149200,50200,61700,66300,echo_c50_r1;echo_c50_r2;echo_c50_r3,
apex_rudp,apex_rudp_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9903,0.9954,1.0000,0.9908,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,23.20,31.54,50900,64300,150600,50500,62000,66900,echo_c600_r1;echo_c600_r2;echo_c600_r3,
coop_rudp,coop_rudp_r0_u30_1000_100_broadcast_0_adaptive,100,3,3,1,0.9759,0.9917,,0.9917,0.9958,,0.9958,0.9885,,0.9885,69.91,86.07,0,0,0,65300,79100,85500,media_relay_c100_r1;media_relay_c100_r2;media_relay_c100_r3,
coop_rudp,coop_rudp_r0_u30_1000_125_broadcast_0_adaptive,125,3,3,1,0.8103,0.9851,,0.9851,0.8355,,0.8355,0.9845,,0.9845,87.98,100.00,0,0,0,76200,94800,106200,media_relay_c125_r1;media_relay_c125_r2;media_relay_c125_r3,
coop_rudp,coop_rudp_r0_u30_1000_1_broadcast_0_adaptive,1,3,3,1,0.9767,0.9883,,0.9883,1.0000,,1.0000,0.9899,,0.9899,20.29,23.27,0,0,0,50200,61400,66300,media_relay_c1_r1;media_relay_c1_r2;media_relay_c1_r3,
coop_rudp,coop_rudp_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9789,0.9883,,0.9883,1.0000,,1.0000,0.9904,,0.9904,31.71,60.83,0,0,0,55200,66500,70900,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
coop_rudp,coop_rudp_r0_u30_1000_5_broadcast_0_adaptive,5,3,3,1,0.9783,0.9850,,0.9850,1.0000,,1.0000,0.9932,,0.9932,20.57,24.06,0,0,0,50400,61100,65400,media_relay_c5_r1;media_relay_c5_r2;media_relay_c5_r3,
coop_rudp,coop_rudp_r0_u30_1000_75_broadcast_0_adaptive,75,3,3,1,0.9790,0.9897,,0.9897,0.9993,,0.9993,0.9899,,0.9899,47.39,57.71,0,0,0,59400,71100,76200,media_relay_c75_r1;media_relay_c75_r2;media_relay_c75_r3,
coop_rudp,coop_rudp_r1_u20_128_1_broadcast_0_adaptive,1,3,3,1,0.9762,0.9929,1.0000,0.9925,1.0000,1.0000,1.0000,0.9880,1.0000,0.9873,20.33,23.42,50100,58500,58500,49800,62100,66600,game_server_c1_r1;game_server_c1_r2;game_server_c1_r3,
coop_rudp,coop_rudp_r1_u20_128_5_broadcast_0_adaptive,5,3,3,1,0.9833,0.9905,1.0000,0.9900,1.0000,1.0000,1.0000,0.9905,1.0000,0.9900,20.51,23.49,46000,58100,68500,50300,61200,67200,game_server_c5_r1;game_server_c5_r2;game_server_c5_r3,
coop_rudp,coop_rudp_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9102,0.9881,1.0000,0.9875,0.9299,0.5250,0.9501,0.9886,1.0000,0.9882,31.35,40.72,60200,155200,162900,58500,69500,74700,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
coop_rudp,coop_rudp_r50_u0_64_1000_echo_0_adaptive,1000,3,3,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,52.49,61.22,53600,66500,154700,0,0,0,reliable_echo_c1000_r1;reliable_echo_c1000_r2;reliable_echo_c1000_r3,
coop_rudp,coop_rudp_r50_u0_64_1500_echo_0_adaptive,1500,3,3,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,68.47,78.20,54100,67300,155900,0,0,0,reliable_echo_c1500_r1;reliable_echo_c1500_r2;reliable_echo_c1500_r3,
