profile,library,status,last_ok_conns,last_ok_delivery,last_ok_server_cpu,break_conns,break_reason,break_delivery,break_server_cpu
echo,apex_rudp,not_broken,3000,0.9900,59.09,,,,
echo,coop_rudp,broken,1500,0.9900,78.88,2000,aggregate_invalid:client_tick,,
echo,enet,broken,600,0.9879,93.52,1000,delivery<0.95,0.8587,95.81
echo,gns,broken,600,0.9901,162.17,1000,delivery<0.95,0.8532,182.46
echo,kcp,broken,200,0.9902,37.99,600,delivery<0.95,0.8921,91.28
echo,litenetlib,broken,2000,0.9890,171.08,3000,aggregate_invalid:client_tick,,
echo,mini_rudp,broken,200,0.9898,55.52,600,delivery<0.95,0.7267,99.77
echo,msquic,broken,1,0.9900,11.09,50,delivery<0.95,0.6207,36.27
echo,raknet,broken,1,0.9900,10.69,50,aggregate_invalid:valid_runs=1/3,0.9885,23.58
echo,raw_udp,unsupported,unsupported,,,1,unsupported_reliable,,
echo,slikenet,broken,1,0.9900,10.76,50,unsupported_conns,,
echo,udt4,unsupported,unsupported,,,1,unsupported_unreliable,,
echo,yojimbo,below_gate,below_gate,,,1,delivery<0.95,0.5580,68.36
game_server,apex_rudp,not_broken,256,0.9760,61.92,,,,
game_server,coop_rudp,broken,64,0.9639,31.78,96,delivery<0.95,0.9244,45.15
game_server,enet,broken,64,0.9610,44.70,96,delivery<0.95,0.9428,61.93
game_server,gns,broken,64,0.9739,167.17,96,delivery<0.95,0.3828,189.46
game_server,kcp,broken,64,0.9813,57.36,96,delivery<0.95,0.4868,94.00
game_server,litenetlib,broken,128,0.9754,76.48,192,aggregate_invalid:client_tick,,
game_server,mini_rudp,broken,5,0.9827,12.72,64,delivery<0.95,0.8810,68.75
game_server,msquic,broken,1,0.9714,10.62,5,delivery<0.95,0.8463,13.35
game_server,raknet,broken,64,0.9705,87.37,96,aggregate_invalid:valid_runs=1/3,0.9548,109.61
game_server,raw_udp,unsupported,unsupported,,,1,unsupported_reliable,,
game_server,slikenet,broken,1,0.9762,10.57,5,unsupported_conns,,
game_server,udt4,unsupported,unsupported,,,1,unsupported_unreliable,,
game_server,yojimbo,below_gate,below_gate,,,1,delivery<0.95,0.1976,67.70
media_relay,apex_rudp,broken,150,0.9794,109.39,200,delivery<0.95,0.6217,123.90
media_relay,coop_rudp,broken,100,0.9668,67.40,125,delivery<0.95,0.8570,89.37
media_relay,enet,broken,50,0.9568,77.25,75,delivery<0.95,0.4917,95.27
media_relay,gns,broken,5,0.9811,22.74,50,delivery<0.95,0.1530,86.95
media_relay,kcp,broken,50,0.9801,73.19,75,delivery<0.95,0.5201,94.02
media_relay,litenetlib,broken,50,0.9762,94.35,75,aggregate_invalid:valid_runs=1/3,0.3004,116.93
media_relay,mini_rudp,broken,50,0.9801,72.93,75,delivery<0.95,0.5203,12.67
media_relay,msquic,broken,1,0.9833,10.60,5,delivery<0.95,0.8397,14.39
media_relay,raknet,broken,5,0.9733,12.28,50,delivery<0.95,0.7599,118.78
media_relay,raw_udp,broken,50,0.9795,70.49,75,delivery<0.95,0.5179,11.13
media_relay,slikenet,broken,1,0.9767,10.58,5,unsupported_conns,,
media_relay,udt4,unsupported,unsupported,,,1,unsupported_unreliable,,
media_relay,yojimbo,below_gate,below_gate,,,1,delivery<0.95,0.0967,67.55
reliable_echo,apex_rudp,not_broken,3000,1.0000,36.45,,,,
reliable_echo,coop_rudp,broken,2000,1.0000,83.58,3000,aggregate_invalid:client_tick,,
reliable_echo,enet,broken,1000,0.9994,96.01,1500,delivery<0.95,0.3694,97.68
reliable_echo,gns,broken,1500,0.9999,176.95,2000,delivery<0.95,0.8381,180.55
reliable_echo,kcp,broken,1000,0.9989,91.52,1500,delivery<0.95,0.8974,91.59
reliable_echo,litenetlib,not_broken,3000,0.9979,178.09,,,,
reliable_echo,mini_rudp,broken,600,0.9913,99.46,1000,aggregate_invalid:server_crash,,
reliable_echo,msquic,broken,1,1.0000,11.10,50,delivery<0.95,0.6262,29.62
reliable_echo,raknet,broken,50,1.0000,23.50,200,aggregate_invalid:client_tick,,
reliable_echo,raw_udp,unsupported,unsupported,,,1,unsupported_reliable,,
reliable_echo,slikenet,broken,1,1.0000,10.67,50,unsupported_conns,,
reliable_echo,udt4,below_gate,below_gate,,,1,delivery<0.95,0.6860,16.88
reliable_echo,yojimbo,below_gate,below_gate,,,1,delivery<0.95,0.9290,68.38
