run_id,scenario_id,library,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,server_echo_accept_ratio,server_echo_accept_ratio_r,server_echo_accept_ratio_u,return_delivery_ratio,return_delivery_ratio_r,return_delivery_ratio_u,rtt_r_p50_us,rtt_r_p95_us,rtt_r_p99_us,rtt_u_p50_us,rtt_u_p95_us,rtt_u_p99_us,server_cpu_pct,server_cpu_pct_peak
echo_c1000_r1,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9899,0.9947,1.0000,0.9895,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,55300,68600,152300,55200,66800,71800,60.62,78.24
echo_c1000_r1,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9902,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9952,1.0000,0.9903,50900,63400,148300,50500,62200,66800,28.25,142.27
echo_c1000_r1,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8675,0.8921,0.9921,0.7884,1.0000,1.0000,1.0000,0.9724,0.9999,0.9377,165200,950000,2504000,83900,133500,231000,95.79,100.00
echo_c1000_r1,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8530,0.8566,0.9997,0.7134,1.0000,1.0000,1.0000,0.9958,1.0000,0.9900,177100,409500,573300,91400,151300,172900,183.52,195.29
echo_c1000_r1,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9899,0.9948,1.0000,0.9897,1.0000,1.0000,1.0000,0.9950,0.9999,0.9900,67700,193000,546700,65700,79400,91400,138.36,164.13
echo_c1000_r2,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9899,0.9951,1.0000,0.9902,1.0000,1.0000,1.0000,0.9947,1.0000,0.9894,55500,68200,155200,55300,66700,71700,60.52,72.73
echo_c1000_r2,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9887,0.9940,1.0000,0.9881,1.0000,1.0000,1.0000,0.9947,1.0000,0.9892,51000,64800,153700,50700,62200,66900,28.61,33.09
echo_c1000_r2,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8587,0.8817,0.9822,0.7751,1.0000,1.0000,1.0000,0.9740,0.9994,0.9418,183300,1157000,2624000,79900,123500,155900,95.99,102.33
echo_c1000_r2,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8595,0.8632,1.0000,0.7264,1.0000,1.0000,1.0000,0.9957,1.0000,0.9899,173900,386600,533000,91900,148000,165300,182.46,195.40
echo_c1000_r2,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9901,0.9950,0.9999,0.9902,1.0000,1.0000,1.0000,0.9950,0.9999,0.9901,67600,189900,547300,65300,78600,88900,137.75,165.96
echo_c1000_r3,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9906,0.9960,1.0000,0.9920,1.0000,1.0000,1.0000,0.9946,1.0000,0.9892,55200,68400,153700,55100,66900,71900,60.29,67.27
echo_c1000_r3,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9913,0.9961,1.0000,0.9922,1.0000,1.0000,1.0000,0.9952,1.0000,0.9903,51200,64400,150600,50600,62100,66900,28.29,34.68
echo_c1000_r3,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8431,0.8673,0.9718,0.7534,1.0000,1.0000,1.0000,0.9721,0.9971,0.9399,212700,1410000,3335000,86100,142900,173500,95.81,99.74
echo_c1000_r3,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8532,0.8569,1.0000,0.7137,1.0000,1.0000,1.0000,0.9958,1.0000,0.9898,171800,373600,512500,89500,147400,166800,180.72,194.62
echo_c1000_r3,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,67700,195100,598600,65000,78300,88600,138.68,166.33
echo_c1500_r1,coop_rudp_r50_u50_64_1500_echo_0_adaptive,coop_rudp,1,ok,0.9900,0.9956,1.0000,0.9912,1.0000,1.0000,1.0000,0.9943,1.0000,0.9886,56500,69700,156800,56300,68200,73100,77.87,96.70
echo_c1500_r1,apex_rudp_r50_u50_64_1500_echo_0_adaptive,apex_rudp,1,ok,0.9901,0.9954,1.0000,0.9907,1.0000,1.0000,1.0000,0.9947,1.0000,0.9893,51400,64200,150400,50500,62200,66900,33.82,45.17
echo_c1500_r1,litenetlib_r50_u50_64_1500_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9950,1.0000,0.9899,1.0000,1.0000,1.0000,0.9950,1.0000,0.9901,73300,200200,538700,72100,92000,98500,160.87,183.88
echo_c1500_r2,coop_rudp_r50_u50_64_1500_echo_0_adaptive,coop_rudp,1,ok,0.9895,0.9944,1.0000,0.9887,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,56500,69700,156500,56300,68200,72600,78.88,88.70
