library,scenario_id,conns,n_total,n_valid,valid,delivery_ratio_median,forward_delivery_ratio_median,forward_delivery_ratio_r_median,forward_delivery_ratio_u_median,server_echo_accept_ratio_median,server_echo_accept_ratio_r_median,server_echo_accept_ratio_u_median,return_delivery_ratio_median,return_delivery_ratio_r_median,return_delivery_ratio_u_median,server_cpu_pct_median,server_cpu_pct_peak_median,rtt_r_p50_us_median,rtt_r_p95_us_median,rtt_r_p99_us_median,rtt_u_p50_us_median,rtt_u_p95_us_median,rtt_u_p99_us_median,included_run_ids,note
apex_rudp,apex_rudp_r0_u30_1000_100_broadcast_0_adaptive,100,3,3,1,0.9813,0.9908,,0.9892,1.0000,,1.0000,0.9903,,0.9903,56.81,110.24,0,0,0,52900,64900,70500,media_relay_c100_r1;media_relay_c100_r2;media_relay_c100_r3,
apex_rudp,apex_rudp_r0_u30_1000_125_broadcast_0_adaptive,125,3,2,1,0.9799,0.9898,,0.9867,1.0000,,1.0000,0.9901,,0.9901,79.96,116.68,0,0,0,55600,68900,76200,media_relay_c125_r2;media_relay_c125_r3,
apex_rudp,apex_rudp_r0_u30_1000_150_broadcast_0_adaptive,150,3,3,1,0.9794,0.9903,,0.9850,1.0000,,1.0000,0.9889,,0.9889,109.39,145.82,0,0,0,63000,83000,102700,media_relay_c150_r1;media_relay_c150_r2;media_relay_c150_r3,
apex_rudp,apex_rudp_r0_u30_1000_1_broadcast_0_adaptive,1,3,3,1,0.9800,0.9867,,0.9867,1.0000,,1.0000,0.9932,,0.9932,13.78,17.62,0,0,0,50400,62000,66300,media_relay_c1_r1;media_relay_c1_r2;media_relay_c1_r3,
apex_rudp,apex_rudp_r0_u30_1000_200_broadcast_0_adaptive,200,3,3,1,0.6217,0.9899,,0.9817,0.6699,,0.6699,0.9375,,0.9375,123.90,157.65,0,0,0,1370000,1450000,1469000,media_relay_c200_r1;media_relay_c200_r2;media_relay_c200_r3,
apex_rudp,apex_rudp_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9793,0.9891,,0.9891,1.0000,,1.0000,0.9899,,0.9899,22.81,30.50,0,0,0,50600,62400,67300,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
apex_rudp,apex_rudp_r0_u30_1000_5_broadcast_0_adaptive,5,3,3,1,0.9799,0.9890,,0.9890,1.0000,,1.0000,0.9912,,0.9912,14.59,19.70,0,0,0,50300,61700,66400,media_relay_c5_r1;media_relay_c5_r2;media_relay_c5_r3,
apex_rudp,apex_rudp_r0_u30_1000_75_broadcast_0_adaptive,75,3,3,1,0.9812,0.9913,,0.9913,1.0000,,1.0000,0.9897,,0.9897,41.92,54.50,0,0,0,51800,63600,69000,media_relay_c75_r1;media_relay_c75_r2;media_relay_c75_r3,
apex_rudp,apex_rudp_r1_u20_128_128_broadcast_0_adaptive,128,3,3,1,0.9759,0.9869,1.0000,0.9862,1.0000,1.0000,1.0000,0.9888,0.9626,0.9901,31.08,63.02,61300,84600,197300,51400,64600,76400,game_server_c128_r1;game_server_c128_r2;game_server_c128_r3,
apex_rudp,apex_rudp_r1_u20_128_192_broadcast_0_adaptive,192,3,3,1,0.9812,0.9911,1.0000,0.9888,1.0000,1.0000,1.0000,0.9898,0.9912,0.9898,38.70,102.17,81100,117900,150000,52700,79500,109300,game_server_c192_r1;game_server_c192_r2;game_server_c192_r3,
