profile,library,status,last_ok_conns,last_ok_delivery,last_ok_server_cpu,break_conns,break_reason,break_delivery,break_server_cpu
echo,apex_rudp,not_broken,3000,0.9899,59.48,,,,
echo,coop_rudp,broken,1500,0.9906,78.31,2000,aggregate_invalid:client_tick,,
echo,enet,broken,600,0.9877,93.84,1000,delivery<0.95,0.8624,95.76
echo,gns,broken,600,0.9900,161.46,1000,delivery<0.95,0.8567,181.43
echo,litenetlib,broken,2000,0.9887,168.53,3000,aggregate_invalid:client_tick,,
echo,raknet,broken,50,0.9896,23.38,200,aggregate_invalid:client_tick,,
game_server,apex_rudp,broken,128,0.9786,26.96,192,delivery<0.95,0.6997,31.50
game_server,coop_rudp,broken,5,0.9714,20.47,64,delivery<0.95,0.9193,31.27
game_server,enet,broken,5,0.9750,13.98,64,delivery<0.95,0.9220,42.42
game_server,gns,broken,64,0.9810,156.68,96,aggregate_invalid:server_crash,,
game_server,litenetlib,broken,96,0.9805,37.52,128,aggregate_invalid:client_tick,,
game_server,raknet,broken,5,0.9816,11.55,64,aggregate_invalid:valid_runs=1/3,0.9816,57.00
media_relay,apex_rudp,broken,125,0.9696,56.92,150,delivery<0.95,0.6547,54.53
media_relay,coop_rudp,broken,100,0.9755,69.21,125,delivery<0.95,0.8134,88.16
media_relay,enet,broken,50,0.9626,77.83,75,delivery<0.95,0.4912,96.07
media_relay,gns,broken,5,0.9795,22.32,50,delivery<0.95,0.1530,84.78
media_relay,litenetlib,broken,50,0.9799,94.68,75,aggregate_invalid:valid_runs=1/3,0.3178,120.79
media_relay,raknet,broken,5,0.9819,12.05,50,delivery<0.95,0.8363,121.52
