run_id,scenario_id,library,valid,invalid_reason,delivery_ratio,forward_delivery_ratio,forward_delivery_ratio_r,forward_delivery_ratio_u,server_echo_accept_ratio,server_echo_accept_ratio_r,server_echo_accept_ratio_u,return_delivery_ratio,return_delivery_ratio_r,return_delivery_ratio_u,rtt_r_p50_us,rtt_r_p95_us,rtt_r_p99_us,rtt_u_p50_us,rtt_u_p95_us,rtt_u_p99_us,server_cpu_pct,server_cpu_pct_peak
echo_c1000_r1,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9890,0.9946,1.0000,0.9892,1.0000,1.0000,1.0000,0.9943,1.0000,0.9886,55300,69100,152400,55200,67100,73900,60.42,95.41
echo_c1000_r1,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9892,0.9942,1.0000,0.9884,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,51000,64800,152800,50500,62200,67200,28.80,32.36
echo_c1000_r1,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9949,1.0000,0.9899,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,67700,191800,571700,65300,78400,88800,137.99,163.18
echo_c1000_r1,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8677,0.8894,0.9903,0.7851,1.0000,1.0000,1.0000,0.9756,0.9992,0.9457,158400,1023000,2704000,74900,104500,118000,96.12,99.87
echo_c1000_r1,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8590,0.8626,1.0000,0.7252,1.0000,1.0000,1.0000,0.9958,1.0000,0.9900,176000,391400,539300,96800,156400,175400,181.43,194.81
echo_c1000_r2,coop_rudp_r50_u50_64_1000_echo_0_adaptive,coop_rudp,1,ok,0.9894,0.9945,1.0000,0.9890,1.0000,1.0000,1.0000,0.9949,1.0000,0.9896,55100,68200,153600,54900,66700,71500,60.14,75.69
echo_c1000_r2,apex_rudp_r50_u50_64_1000_echo_0_adaptive,apex_rudp,1,ok,0.9894,0.9945,1.0000,0.9890,1.0000,1.0000,1.0000,0.9949,1.0000,0.9897,51200,63700,149800,50600,62200,66900,28.98,65.88
echo_c1000_r2,litenetlib_r50_u50_64_1000_echo_0_adaptive,litenetlib,1,ok,0.9900,0.9949,0.9999,0.9899,1.0000,1.0000,1.0000,0.9950,0.9999,0.9901,67600,190300,559300,65300,78300,88200,139.77,165.97
echo_c1000_r2,enet_r50_u50_64_1000_echo_0_adaptive,enet,1,ok,0.8461,0.8712,0.9803,0.7559,1.0000,1.0000,1.0000,0.9712,0.9993,0.9347,206700,1440000,3584000,80900,124200,154000,95.76,99.69
echo_c1000_r2,gns_r50_u50_64_1000_echo_0_adaptive,gns,1,ok,0.8567,0.8602,1.0000,0.7205,1.0000,1.0000,1.0000,0.9958,1.0000,0.9901,175700,389000,533200,95700,149000,167000,181.17,195.34
