library,scenario_id,conns,n_total,n_valid,valid,delivery_ratio_median,forward_delivery_ratio_median,forward_delivery_ratio_r_median,forward_delivery_ratio_u_median,server_echo_accept_ratio_median,server_echo_accept_ratio_r_median,server_echo_accept_ratio_u_median,return_delivery_ratio_median,return_delivery_ratio_r_median,return_delivery_ratio_u_median,server_cpu_pct_median,server_cpu_pct_peak_median,rtt_r_p50_us_median,rtt_r_p95_us_median,rtt_r_p99_us_median,rtt_u_p50_us_median,rtt_u_p95_us_median,rtt_u_p99_us_median,included_run_ids,note
apex_rudp,apex_rudp_r0_u30_1000_100_broadcast_0_adaptive,100,3,3,1,0.9804,0.9930,,0.9831,1.0000,,1.0000,0.9873,,0.9873,43.91,132.06,0,0,0,53900,66200,75100,media_relay_c100_r1;media_relay_c100_r2;media_relay_c100_r3,
apex_rudp,apex_rudp_r0_u30_1000_125_broadcast_0_adaptive,125,3,3,1,0.9696,0.9892,,0.9826,1.0000,,1.0000,0.9811,,0.9811,56.92,83.11,0,0,0,63500,91600,131900,media_relay_c125_r1;media_relay_c125_r2;media_relay_c125_r3,
apex_rudp,apex_rudp_r0_u30_1000_150_broadcast_0_adaptive,150,3,3,1,0.6547,0.9912,,0.9912,1.0000,,1.0000,0.6594,,0.6594,54.53,93.70,0,0,0,1635000,1839000,1874000,media_relay_c150_r1;media_relay_c150_r2;media_relay_c150_r3,
apex_rudp,apex_rudp_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9817,0.9917,,0.9917,1.0000,,1.0000,0.9897,,0.9897,20.41,24.33,0,0,0,51300,63000,68600,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
apex_rudp,apex_rudp_r0_u30_1000_5_broadcast_0_adaptive,5,3,3,1,0.9837,0.9933,,0.9933,1.0000,,1.0000,0.9873,,0.9873,13.77,17.82,0,0,0,50300,62100,67100,media_relay_c5_r1;media_relay_c5_r2;media_relay_c5_r3,
apex_rudp,apex_rudp_r0_u30_1000_75_broadcast_0_adaptive,75,3,3,1,0.9813,0.9919,,0.9886,1.0000,,1.0000,0.9893,,0.9893,27.35,34.97,0,0,0,52100,64400,74700,media_relay_c75_r1;media_relay_c75_r2;media_relay_c75_r3,
apex_rudp,apex_rudp_r1_u20_128_128_broadcast_0_adaptive,128,3,3,1,0.9786,0.9904,1.0000,0.9850,1.0000,1.0000,1.0000,0.9881,0.9586,0.9896,26.96,55.00,77700,121500,370800,59200,82500,136400,game_server_c128_r1;game_server_c128_r2;game_server_c128_r3,
apex_rudp,apex_rudp_r1_u20_128_192_broadcast_0_adaptive,192,3,3,1,0.6997,0.9952,1.0000,0.9950,1.0000,1.0000,1.0000,0.7012,0.7413,0.6993,31.50,89.81,1393000,1470000,1510000,1417000,1480000,1505000,game_server_c192_r1;game_server_c192_r2;game_server_c192_r3,
apex_rudp,apex_rudp_r1_u20_128_5_broadcast_0_adaptive,5,3,3,1,0.9819,0.9905,1.0000,0.9900,1.0000,1.0000,1.0000,0.9913,1.0000,0.9909,13.67,18.69,50700,60900,140800,50400,61800,66700,game_server_c5_r1;game_server_c5_r2;game_server_c5_r3,
apex_rudp,apex_rudp_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9736,0.9833,1.0000,0.9825,1.0000,1.0000,1.0000,0.9901,1.0000,0.9896,16.69,22.66,54500,66200,71800,50700,62600,68600,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
