library,scenario_id,conns,n_total,n_valid,valid,delivery_ratio_median,forward_delivery_ratio_median,forward_delivery_ratio_r_median,forward_delivery_ratio_u_median,server_echo_accept_ratio_median,server_echo_accept_ratio_r_median,server_echo_accept_ratio_u_median,return_delivery_ratio_median,return_delivery_ratio_r_median,return_delivery_ratio_u_median,server_cpu_pct_median,server_cpu_pct_peak_median,rtt_r_p50_us_median,rtt_r_p95_us_median,rtt_r_p99_us_median,rtt_u_p50_us_median,rtt_u_p95_us_median,rtt_u_p99_us_median,included_run_ids,note
apex_rudp,apex_rudp_r0_u30_1000_100_broadcast_0_adaptive,100,3,3,1,0.9806,0.9908,,0.9892,1.0000,,1.0000,0.9901,,0.9901,56.01,148.99,0,0,0,52900,64800,70600,media_relay_c100_r1;media_relay_c100_r2;media_relay_c100_r3,
apex_rudp,apex_rudp_r0_u30_1000_125_broadcast_0_adaptive,125,3,3,1,0.9806,0.9908,,0.9867,1.0000,,1.0000,0.9900,,0.9900,76.76,133.26,0,0,0,54500,67200,73200,media_relay_c125_r1;media_relay_c125_r2;media_relay_c125_r3,
apex_rudp,apex_rudp_r0_u30_1000_150_broadcast_0_adaptive,150,3,3,1,0.9786,0.9892,,0.9838,1.0000,,1.0000,0.9892,,0.9892,114.22,139.83,0,0,0,61300,77700,85100,media_relay_c150_r1;media_relay_c150_r2;media_relay_c150_r3,
apex_rudp,apex_rudp_r0_u30_1000_1_broadcast_0_adaptive,1,3,3,1,0.9850,0.9900,,0.9900,1.0000,,1.0000,0.9917,,0.9917,13.75,19.10,0,0,0,50300,61700,66800,media_relay_c1_r1;media_relay_c1_r2;media_relay_c1_r3,
apex_rudp,apex_rudp_r0_u30_1000_200_broadcast_0_adaptive,200,3,3,1,0.6419,0.9903,,0.9833,0.6894,,0.6894,0.9401,,0.9401,123.11,172.46,0,0,0,1356000,1389000,1409000,media_relay_c200_r1;media_relay_c200_r2;media_relay_c200_r3,
apex_rudp,apex_rudp_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9823,0.9920,,0.9920,1.0000,,1.0000,0.9901,,0.9901,22.47,24.98,0,0,0,50500,62200,67100,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
apex_rudp,apex_rudp_r0_u30_1000_5_broadcast_0_adaptive,5,3,3,1,0.9809,0.9893,,0.9893,1.0000,,1.0000,0.9905,,0.9905,14.44,19.71,0,0,0,50200,61700,66400,media_relay_c5_r1;media_relay_c5_r2;media_relay_c5_r3,
apex_rudp,apex_rudp_r0_u30_1000_75_broadcast_0_adaptive,75,3,3,1,0.9772,0.9871,,0.9871,1.0000,,1.0000,0.9900,,0.9900,40.49,49.38,0,0,0,51700,63400,68900,media_relay_c75_r1;media_relay_c75_r2;media_relay_c75_r3,
apex_rudp,apex_rudp_r1_u20_128_128_broadcast_0_adaptive,128,3,3,1,0.9780,0.9899,1.0000,0.9894,1.0000,1.0000,1.0000,0.9882,0.9566,0.9898,30.50,58.01,60400,139400,168900,51000,63900,74400,game_server_c128_r1;game_server_c128_r2;game_server_c128_r3,
apex_rudp,apex_rudp_r1_u20_128_192_broadcast_0_adaptive,192,3,3,1,0.9789,0.9887,1.0000,0.9869,1.0000,1.0000,1.0000,0.9902,0.9917,0.9901,37.22,99.76,79200,116100,162100,52500,76600,111700,game_server_c192_r1;game_server_c192_r2;game_server_c192_r3,
