library,scenario_id,profile,conns,cc_algo,thread_model,n_total,n_valid,valid,delivery_ratio_median,forward_delivery_ratio_median,forward_delivery_ratio_r_median,forward_delivery_ratio_u_median,server_echo_accept_ratio_median,server_echo_accept_ratio_r_median,server_echo_accept_ratio_u_median,return_delivery_ratio_median,return_delivery_ratio_r_median,return_delivery_ratio_u_median,server_cpu_pct_median,server_cpu_pct_peak_median,rtt_r_p50_us_median,rtt_r_p95_us_median,rtt_r_p99_us_median,rtt_u_p50_us_median,rtt_u_p95_us_median,rtt_u_p99_us_median,included_run_ids,note
apex_rudp,apex_rudp_r0_u30_1000_1_broadcast_0_adaptive,media_relay,1,none,adapter_worker,3,3,1,0.0000,0.9850,,0.9850,1.0000,,1.0000,0.0000,,0.0000,10.70,11.16,0,0,0,0,0,0,media_relay_c1_r1;media_relay_c1_r2;media_relay_c1_r3,
apex_rudp,apex_rudp_r1_u20_128_1_broadcast_0_adaptive,game_server,1,none,adapter_worker,3,3,1,0.0476,0.9905,1.0000,0.9900,1.0000,1.0000,1.0000,0.0481,1.0000,0.0000,10.70,11.22,49500,59400,61400,0,0,0,game_server_c1_r1;game_server_c1_r2;game_server_c1_r3,
apex_rudp,apex_rudp_r50_u0_64_1000_echo_0_adaptive,reliable_echo,1000,none,adapter_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,18.56,19.54,50800,63700,122100,0,0,0,reliable_echo_c1000_r1,
apex_rudp,apex_rudp_r50_u0_64_1500_echo_0_adaptive,reliable_echo,1500,none,adapter_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,22.40,23.64,51100,64100,126200,0,0,0,reliable_echo_c1500_r1,
apex_rudp,apex_rudp_r50_u0_64_1_echo_0_adaptive,reliable_echo,1,none,adapter_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,10.68,11.07,50700,63600,125400,0,0,0,reliable_echo_c1_r1,
apex_rudp,apex_rudp_r50_u0_64_2000_echo_0_adaptive,reliable_echo,2000,none,adapter_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,25.88,27.81,51200,64300,126100,0,0,0,reliable_echo_c2000_r1,
apex_rudp,apex_rudp_r50_u0_64_200_echo_0_adaptive,reliable_echo,200,none,adapter_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,12.85,14.21,50400,63500,125300,0,0,0,reliable_echo_c200_r1,
apex_rudp,apex_rudp_r50_u0_64_3000_echo_0_adaptive,reliable_echo,3000,none,adapter_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,34.87,37.30,51400,64500,125300,0,0,0,reliable_echo_c3000_r1,
apex_rudp,apex_rudp_r50_u0_64_50_echo_0_adaptive,reliable_echo,50,none,adapter_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,11.68,12.62,50300,63300,121400,0,0,0,reliable_echo_c50_r1,
apex_rudp,apex_rudp_r50_u0_64_600_echo_0_adaptive,reliable_echo,600,none,adapter_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,15.68,16.78,50500,63300,124500,0,0,0,reliable_echo_c600_r1,
apex_rudp,apex_rudp_r50_u50_64_1000_echo_0_adaptive,echo,1000,none,adapter_worker,1,1,1,0.9905,0.9955,1.0000,0.9910,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,27.46,30.24,50900,63900,123500,50400,62200,67000,echo_c1000_r1,
