profile,library,status,last_ok_conns,last_ok_delivery,last_ok_server_cpu,break_conns,break_reason,break_delivery,break_server_cpu
echo,apex_rudp,not_broken,3000,0.9900,59.35,,,,
echo,coop_rudp,broken,1500,0.9904,82.37,2000,aggregate_invalid:client_tick,,
echo,enet,broken,600,0.9871,95.05,1000,delivery<0.95,0.8251,96.35
echo,gns,broken,600,0.9898,160.99,1000,delivery<0.95,0.8425,181.95
echo,litenetlib,broken,2000,0.9873,168.36,3000,aggregate_invalid:client_tick,,
echo,raknet,broken,,,,200,aggregate_invalid:valid_runs=1/3,0.9841,72.61
game_server,apex_rudp,broken,128,0.9839,26.09,192,delivery<0.95,0.7003,31.97
game_server,coop_rudp,broken,,,,64,delivery<0.95,0.9124,31.61
game_server,enet,broken,,,,64,delivery<0.95,0.9299,42.15
game_server,gns,broken,64,0.9798,160.63,96,aggregate_invalid:valid_runs=1/3,0.4054,179.86
game_server,litenetlib,broken,96,0.9809,38.39,128,aggregate_invalid:client_tick,,
game_server,raknet,broken,64,0.9805,58.25,96,aggregate_invalid:client_tick,,
media_relay,apex_rudp,broken,125,0.9713,55.68,150,delivery<0.95,0.6493,56.87
media_relay,coop_rudp,broken,100,0.9749,70.12,125,delivery<0.95,0.8172,87.92
media_relay,enet,broken,,,,50,delivery<0.95,0.9415,78.25
media_relay,gns,broken,,,,50,delivery<0.95,0.1530,84.77
media_relay,litenetlib,broken,50,0.9795,95.76,75,aggregate_invalid:valid_runs=1/3,0.3079,121.92
media_relay,raknet,broken,,,,50,delivery<0.95,0.8251,121.81
