library,scenario_id,conns,n_total,n_valid,valid,delivery_ratio_median,forward_delivery_ratio_median,forward_delivery_ratio_r_median,forward_delivery_ratio_u_median,server_echo_accept_ratio_median,server_echo_accept_ratio_r_median,server_echo_accept_ratio_u_median,return_delivery_ratio_median,return_delivery_ratio_r_median,return_delivery_ratio_u_median,server_cpu_pct_median,server_cpu_pct_peak_median,rtt_r_p50_us_median,rtt_r_p95_us_median,rtt_r_p99_us_median,rtt_u_p50_us_median,rtt_u_p95_us_median,rtt_u_p99_us_median,included_run_ids,note
apex_rudp,apex_rudp_r0_u30_1000_100_broadcast_0_adaptive,100,3,3,1,0.9737,0.9896,,0.9847,1.0000,,1.0000,0.9842,,0.9842,42.78,59.41,0,0,0,54100,66600,80900,media_relay_c100_r1;media_relay_c100_r2;media_relay_c100_r3,
apex_rudp,apex_rudp_r0_u30_1000_125_broadcast_0_adaptive,125,3,3,1,0.9713,0.9875,,0.9826,1.0000,,1.0000,0.9825,,0.9825,55.68,73.70,0,0,0,63000,96000,123500,media_relay_c125_r1;media_relay_c125_r2;media_relay_c125_r3,
apex_rudp,apex_rudp_r0_u30_1000_150_broadcast_0_adaptive,150,3,3,1,0.6493,0.9902,,0.9902,1.0000,,1.0000,0.6557,,0.6557,56.87,95.54,0,0,0,1640000,1868000,1911000,media_relay_c150_r1;media_relay_c150_r2;media_relay_c150_r3,
apex_rudp,apex_rudp_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9806,0.9900,,0.9900,1.0000,,1.0000,0.9905,,0.9905,20.64,25.71,0,0,0,51300,63300,68500,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
apex_rudp,apex_rudp_r0_u30_1000_75_broadcast_0_adaptive,75,3,3,1,0.9826,0.9933,,0.9909,1.0000,,1.0000,0.9893,,0.9893,27.10,32.91,0,0,0,52100,64200,73700,media_relay_c75_r1;media_relay_c75_r2;media_relay_c75_r3,
apex_rudp,apex_rudp_r1_u20_128_128_broadcast_0_adaptive,128,3,3,1,0.9839,0.9952,1.0000,0.9875,1.0000,1.0000,1.0000,0.9886,0.9547,0.9903,26.09,54.82,74000,169100,192400,58900,81700,114900,game_server_c128_r1;game_server_c128_r2;game_server_c128_r3,
apex_rudp,apex_rudp_r1_u20_128_192_broadcast_0_adaptive,192,3,3,1,0.7003,0.9929,1.0000,0.9925,1.0000,1.0000,1.0000,0.7053,0.7597,0.7033,31.97,92.52,1400000,1494000,1538000,1418000,1494000,1533000,game_server_c192_r1;game_server_c192_r2;game_server_c192_r3,
apex_rudp,apex_rudp_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9808,0.9905,1.0000,0.9900,1.0000,1.0000,1.0000,0.9902,1.0000,0.9897,16.59,22.81,55100,66600,74100,51100,63300,68800,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
apex_rudp,apex_rudp_r1_u20_128_96_broadcast_0_adaptive,96,3,3,1,0.9778,0.9905,1.0000,0.9900,1.0000,1.0000,1.0000,0.9868,0.9236,0.9901,21.72,38.23,62300,80900,89300,52600,66100,78700,game_server_c96_r1;game_server_c96_r2;game_server_c96_r3,
apex_rudp,apex_rudp_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.9895,0.9944,1.0000,0.9889,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,27.09,34.79,51300,64200,150400,50500,62200,67200,echo_c1000_r1;echo_c1000_r2;echo_c1000_r3,
apex_rudp,apex_rudp_r50_u50_64_1500_echo_0_adaptive,1500,3,3,1,0.9898,0.9952,1.0000,0.9903,1.0000,1.0000,1.0000,0.9947,1.0000,0.9894,34.20,45.81,51400,64300,151500,50700,62300,67300,echo_c1500_r1;echo_c1500_r2;echo_c1500_r3,
apex_rudp,apex_rudp_r50_u50_64_2000_echo_0_adaptive,2000,3,3,1,0.9903,0.9953,1.0000,0.9905,1.0000,1.0000,1.0000,0.9949,1.0000,0.9898,40.53,68.28,51600,64800,152100,50800,62400,67100,echo_c2000_r1;echo_c2000_r2;echo_c2000_r3,
apex_rudp,apex_rudp_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9905,0.9960,1.0000,0.9920,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,17.31,19.36,50400,63300,149200,50200,61900,66900,echo_c200_r1;echo_c200_r2;echo_c200_r3,
apex_rudp,apex_rudp_r50_u50_64_3000_echo_0_adaptive,3000,3,3,1,0.9900,0.9950,1.0000,0.9901,1.0000,1.0000,1.0000,0.9949,1.0000,0.9897,59.35,93.07,51700,65100,152100,51100,62900,67800,echo_c3000_r1;echo_c3000_r2;echo_c3000_r3,
apex_rudp,apex_rudp_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9899,0.9948,1.0000,0.9895,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,23.39,31.31,50900,63800,151500,50400,62000,66700,echo_c600_r1;echo_c600_r2;echo_c600_r3,
coop_rudp,coop_rudp_r0_u30_1000_100_broadcast_0_adaptive,100,3,3,1,0.9749,0.9877,,0.9877,0.9964,,0.9964,0.9890,,0.9890,70.12,90.93,0,0,0,65700,79400,85900,media_relay_c100_r1;media_relay_c100_r2;media_relay_c100_r3,
coop_rudp,coop_rudp_r0_u30_1000_125_broadcast_0_adaptive,125,3,3,1,0.8172,0.9908,,0.9908,0.8373,,0.8373,0.9849,,0.9849,87.92,100.00,0,0,0,76300,94900,105200,media_relay_c125_r1;media_relay_c125_r2;media_relay_c125_r3,
coop_rudp,coop_rudp_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9825,0.9917,,0.9917,1.0000,,1.0000,0.9900,,0.9900,31.81,58.34,0,0,0,55100,66900,71500,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
coop_rudp,coop_rudp_r0_u30_1000_75_broadcast_0_adaptive,75,3,3,1,0.9779,0.9886,,0.9886,0.9988,,0.9988,0.9902,,0.9902,47.13,57.41,0,0,0,59400,71200,76300,media_relay_c75_r1;media_relay_c75_r2;media_relay_c75_r3,
coop_rudp,coop_rudp_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9124,0.9881,1.0000,0.9875,0.9337,0.5750,0.9506,0.9899,1.0000,0.9896,31.61,37.98,59200,73700,159700,58400,69500,74300,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
coop_rudp,coop_rudp_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.9898,0.9940,1.0000,0.9880,1.0000,1.0000,1.0000,0.9960,1.0000,0.9919,62.30,76.09,55400,68900,155700,55200,67300,72600,echo_c1000_r1;echo_c1000_r2;echo_c1000_r3,
coop_rudp,coop_rudp_r50_u50_64_1500_echo_0_adaptive,1500,3,2,1,0.9904,0.9952,1.0000,0.9905,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,82.37,100.00,58400,76900,158550,58150,74050,86900,echo_c1500_r1;echo_c1500_r2,
coop_rudp,coop_rudp_r50_u50_64_2000_echo_0_adaptive,2000,3,0,0,,,,,,,,,,,,,,,,,,,,client_tick
coop_rudp,coop_rudp_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9891,0.9949,1.0000,0.9898,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,30.16,40.29,51100,63700,149900,51000,62300,67000,echo_c200_r1;echo_c200_r2;echo_c200_r3,
coop_rudp,coop_rudp_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9892,0.9958,1.0000,0.9915,1.0000,1.0000,1.0000,0.9940,1.0000,0.9879,44.02,60.33,53000,66600,152500,52900,64700,69700,echo_c600_r1;echo_c600_r2;echo_c600_r3,
enet,enet_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.9415,0.9884,,0.9884,1.0000,,1.0000,0.9516,,0.9516,78.25,100.00,0,0,0,56900,70800,75300,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
enet,enet_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9299,0.9898,1.0000,0.9893,1.0000,1.0000,1.0000,0.9394,1.0000,0.9363,42.15,85.93,104200,163500,339500,55200,66600,74400,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
enet,enet_r50_u50_64_1000_echo_0_adaptive,1000,3,3,1,0.8251,0.8592,0.9668,0.7394,1.0000,1.0000,1.0000,0.9603,0.9992,0.9101,96.35,100.00,249900,1646000,3547000,91400,184200,326200,echo_c1000_r1;echo_c1000_r2;echo_c1000_r3,
enet,enet_r50_u50_64_200_echo_0_adaptive,200,3,3,1,0.9883,0.9940,1.0000,0.9881,1.0000,1.0000,1.0000,0.9943,1.0000,0.9885,46.62,59.06,51200,84100,126000,50400,62000,66800,echo_c200_r1;echo_c200_r2;echo_c200_r3,
enet,enet_r50_u50_64_600_echo_0_adaptive,600,3,3,1,0.9871,0.9936,1.0000,0.9873,1.0000,1.0000,1.0000,0.9934,1.0000,0.9867,95.05,99.92,54700,90300,131400,53900,66800,74400,echo_c600_r1;echo_c600_r2;echo_c600_r3,
gns,gns_r0_u30_1000_50_broadcast_0_adaptive,50,3,3,1,0.1530,0.9901,,0.9901,0.1710,,0.1710,0.9035,,0.9035,84.77,92.19,0,0,0,2113000,2131000,2136000,media_relay_c50_r1;media_relay_c50_r2;media_relay_c50_r3,
gns,gns_r1_u20_128_64_broadcast_0_adaptive,64,3,3,1,0.9798,0.9906,1.0000,0.9901,1.0000,1.0000,1.0000,0.9899,1.0000,0.9894,160.63,191.08,103000,180100,228000,68800,103700,119200,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
